,Stimulus,Aver. human ratings,emotion,Category
122,Anger,0.5657547255137249,Anger,Prototype with mouth opening
123,Anger,0.022924956365626394,Anger,Prototype with mouth opening
124,Anger,0.24648420462923426,Anger,Prototype with mouth opening
125,Anger,0.26416268961475603,Anger,Prototype with mouth opening
126,Anger,0.1926856677319286,Anger,Prototype with mouth opening
127,Anger,0.6465863043045423,Anger,Prototype with mouth opening
128,Anger,0.30404505752250427,Anger,Prototype with mouth opening
129,Anger,0.9674082716942367,Anger,Prototype with mouth opening
130,Anger,0.5273850622801726,Anger,Prototype with mouth opening
131,Anger,0.18169173166803584,Anger,Prototype with mouth opening
132,Anger,0.03986360758639597,Anger,Prototype with mouth opening
133,Anger,0.2951006941083811,Anger,Prototype with mouth opening
134,Anger,0.03988117115020786,Anger,Prototype with mouth opening
135,Anger,0.5187746676752861,Anger,Prototype with mouth opening
136,Anger,0.27483475502576016,Anger,Prototype with mouth opening
137,Anger,0.3842032732384427,Anger,Prototype with mouth opening
138,Anger,0.8064065658159044,Anger,Prototype with mouth opening
139,Anger,0.11643877539913522,Anger,Prototype with mouth opening
140,Anger,0.5487940384534701,Anger,Prototype with mouth opening
141,Anger,0.06318867857484227,Anger,Prototype with mouth opening
142,Anger,0.09799470923948259,Anger,Prototype with mouth opening
143,Anger,0.42189736724066973,Anger,Prototype with mouth opening
144,Anger,0.1926856677319286,Anger,Prototype with mouth opening
145,Anger,0.3763833528070077,Anger,Prototype with mouth opening
146,Anger,0.3526922563491205,Anger,Prototype with mouth opening
147,Anger,0.28396745074883273,Anger,Prototype with mouth opening
148,Anger,0.5237739492001989,Anger,Prototype with mouth opening
149,Anger,0.0591303777226895,Anger,Prototype with mouth opening
150,Anger,0.18970711345744634,Anger,Prototype with mouth opening
151,Anger,0.09972469893330557,Anger,Prototype with mouth opening
152,Anger,0.7201703589555983,Anger,Prototype with mouth opening
153,Anger,0.8731715739650103,Anger,Prototype with mouth opening
154,Anger,0.5394765592183844,Anger,Prototype with mouth opening
155,Anger,0.01279865701810279,Anger,Prototype with mouth opening
156,Anger,0.7543654279752888,Anger,Prototype with mouth opening
157,Anger,0.16939378865115073,Anger,Prototype with mouth opening
158,Anger,0.03186946552249886,Anger,Prototype with mouth opening
159,Anger,0.33250912561445506,Anger,Prototype with mouth opening
160,Anger,0.8355490681450167,Anger,BO1
161,Anger,0.0798402910781874,Anger,BO1
162,Anger,0.5273850622801726,Anger,BO1
163,Anger,0.2748347550257601,Anger,BO1
164,Anger,0.23312200962361299,Anger,BO1
165,Anger,0.11666026477698445,Anger,BO1
166,Anger,0.3087397803784867,Anger,BO1
167,Anger,0.7213379054789083,Anger,BO1
168,Anger,0.8466086793672353,Anger,BO1
169,Anger,0.9161047784667917,Anger,BO1
170,Anger,0.21555612220306053,Anger,BO1
171,Anger,0.6837462537568376,Anger,BO1
172,Anger,0.03730811677491157,Anger,BO1
173,Anger,0.5428672501848772,Anger,BO1
174,Anger,0.9398838345093976,Anger,BO1
175,Anger,0.3842032732384427,Anger,BO1
176,Anger,0.9161047784667917,Anger,BO1
177,Anger,0.09381103581628396,Anger,BO1
178,Anger,0.9645535844064426,Anger,BO1
179,Anger,0.01036215925210431,Anger,BO1
180,Anger,0.01129824689794322,Anger,BO1
181,Anger,0.2814521518208162,Anger,BO1
182,Anger,0.09718002263382161,Anger,BO1
183,Anger,0.3889056977895595,Anger,BO1
184,Anger,0.17176463673433318,Anger,BO1
185,Anger,0.887227624326491,Anger,BO1
186,Anger,0.5199234710165771,Anger,BO1
187,Anger,0.5914304700299401,Anger,BO1
188,Anger,0.5237739492001989,Anger,BO1
189,Anger,0.017756607013891784,Anger,BO1
190,Anger,0.26416268961475603,Anger,BO1
191,Anger,0.005536913568786868,Anger,BO1
192,Anger,0.8518868880090541,Anger,BO1
193,Anger,0.6532757922688733,Anger,BO1
194,Anger,0.6290759915128575,Anger,BO1
195,Anger,0.4975334756286422,Anger,BO1
