2024-03-22 15:10:26,677 | INFO | Opened serial port /dev/ttyUSB1
2024-03-22 15:10:48,895 | INFO | Shuffle the conditionsBOAnger: [(39, 0, 1), (41, 4, 15), (41, 3, 14), (39, 0, 1), (40, 2, 8), (41, 2, 13), (39, 2, 3), (40, 1, 7), (41, 1, 12), (39, 1, 2), (40, 4, 10), (40, 0, 6), (41, 0, 11), (39, 4, 5), (39, 3, 4), (40, 3, 9)]
2024-03-22 15:10:48,896 | INFO | Received the serial number 2, index 1, trial number 1, BO anger, duration 975ms, duration type 39, exp type 0
2024-03-22 15:10:51,918 | INFO | Received the serial number 0, neutral state.
2024-03-22 15:10:59,411 | INFO | Shuffle the conditionsProHappy: [(39, 0, 1), (41, 4, 15), (41, 3, 14), (39, 1, 2), (40, 0, 6), (41, 0, 11), (41, 1, 12), (39, 4, 5), (40, 4, 10), (40, 3, 9), (41, 2, 13), (40, 1, 7), (39, 0, 1), (39, 3, 4), (39, 2, 3), (40, 2, 8)]
2024-03-22 15:10:59,411 | INFO | Received the serial number 3, index 1, trial number 1, prototype happiness, duration 975ms, duration type 39, exp type 0
2024-03-22 15:11:02,432 | INFO | Received the serial number 0, neutral state.
2024-03-22 15:11:10,189 | INFO | Shuffle the conditionBOHappy: [(39, 0, 1), (39, 3, 4), (41, 3, 14), (41, 4, 15), (40, 3, 9), (41, 0, 11), (40, 1, 7), (39, 0, 1), (39, 1, 2), (40, 0, 6), (40, 4, 10), (39, 2, 3), (39, 4, 5), (40, 2, 8), (41, 2, 13), (41, 1, 12)]
2024-03-22 15:11:10,190 | INFO | Received the serial number 4, index 1, trial number 1, BO happiness, duration 975ms, duration type 39, exp type 0
2024-03-22 15:11:13,208 | INFO | Received the serial number 0, neutral state.
2024-03-22 15:11:20,968 | INFO | Shuffle the conditionsProAnger: [(39, 0, 1), (39, 4, 5), (40, 3, 9), (41, 0, 11), (41, 1, 12), (40, 4, 10), (41, 2, 13), (41, 3, 14), (40, 2, 8), (39, 0, 1), (39, 3, 4), (41, 4, 15), (39, 2, 3), (40, 1, 7), (39, 1, 2), (40, 0, 6)]
2024-03-22 15:11:20,968 | INFO | Received the serial number 1, index 1, trial number 1, prototype anger, duration 975ms, duration type 39, exp type 0
2024-03-22 15:11:23,990 | INFO | Received the serial number 0, neutral state.
2024-03-22 15:12:13,794 | INFO | Received the serial number 1, index 5, trial number 2, prototype anger, duration 975ms, duration type 39, exp type 4
2024-03-22 15:12:16,816 | INFO | Received the serial number 0, neutral state.
2024-03-22 15:12:24,309 | INFO | Received the serial number 4, index 4, trial number 2, BO happiness, duration 975ms, duration type 39, exp type 3
2024-03-22 15:12:27,329 | INFO | Received the serial number 0, neutral state.
2024-03-22 15:12:35,088 | INFO | Received the serial number 2, index 15, trial number 2, BO anger, duration 1025ms, duration type 41, exp type 4
2024-03-22 15:12:38,160 | INFO | Received the serial number 0, neutral state.
2024-03-22 15:12:45,866 | INFO | Received the serial number 4, index 14, trial number 3, BO happiness, duration 1025ms, duration type 41, exp type 3
2024-03-22 15:12:48,943 | INFO | Received the serial number 0, neutral state.
2024-03-22 15:12:57,645 | INFO | Received the serial number 4, index 15, trial number 4, BO happiness, duration 1025ms, duration type 41, exp type 4
2024-03-22 15:13:00,718 | INFO | Received the serial number 0, neutral state.
2024-03-22 15:13:08,923 | INFO | Received the serial number 1, index 9, trial number 3, prototype anger, duration 1000ms, duration type 40, exp type 3
2024-03-22 15:13:11,968 | INFO | Received the serial number 0, neutral state.
2024-03-22 15:13:19,701 | INFO | Received the serial number 2, index 14, trial number 3, BO anger, duration 1025ms, duration type 41, exp type 3
2024-03-22 15:13:22,772 | INFO | Received the serial number 0, neutral state.
2024-03-22 15:13:30,729 | INFO | Received the serial number 4, index 9, trial number 5, BO happiness, duration 1000ms, duration type 40, exp type 3
2024-03-22 15:13:33,779 | INFO | Received the serial number 0, neutral state.
