...1,participant_id,code,emotion_category,emotion_type,measure,value
44,my15,10,An,prototype,arousal,6.466666666666667
44,my15,10,An,prototype,humanlike,6.866666666666666
45,my15,20,An,BO,valence,3.2
45,my15,20,An,BO,arousal,7.066666666666666
45,my15,20,An,BO,humanlike,6.8
46,my15,30,Ha,prototype,valence,6
46,my15,30,Ha,prototype,arousal,6.133333333333334
46,my15,30,Ha,prototype,humanlike,5
47,my15,40,Ha,BO,valence,4.8
47,my15,40,Ha,BO,arousal,5.6
47,my15,40,Ha,BO,humanlike,4.333333333333333
48,my16,10,An,prototype,valence,4.8
48,my16,10,An,prototype,arousal,5.866666666666666
48,my16,10,An,prototype,humanlike,7.666666666666667
49,my16,20,An,BO,valence,6.666666666666667
49,my16,20,An,BO,arousal,7.133333333333334
49,my16,20,An,BO,humanlike,7.333333333333333
50,my16,30,Ha,prototype,valence,5.866666666666666
50,my16,30,Ha,prototype,arousal,5
50,my16,30,Ha,prototype,humanlike,4.666666666666667
51,my16,40,Ha,BO,valence,5.8
51,my16,40,Ha,BO,arousal,5
51,my16,40,Ha,BO,humanlike,5.266666666666667
52,my17,10,An,prototype,valence,2.1333333333333333
52,my17,10,An,prototype,arousal,7.533333333333333
52,my17,10,An,prototype,humanlike,6
53,my17,20,An,BO,valence,1.6666666666666667
53,my17,20,An,BO,arousal,8.733333333333333
53,my17,20,An,BO,humanlike,4.2
54,my17,30,Ha,prototype,valence,7.266666666666667
54,my17,30,Ha,prototype,arousal,5.533333333333333
54,my17,30,Ha,prototype,humanlike,4.866666666666666
55,my17,40,Ha,BO,valence,5.066666666666666
55,my17,40,Ha,BO,arousal,3.8
55,my17,40,Ha,BO,humanlike,5.2
56,my18,10,An,prototype,valence,3.7333333333333334
56,my18,10,An,prototype,arousal,7.266666666666667
56,my18,10,An,prototype,humanlike,4.466666666666667
57,my18,20,An,BO,valence,2.933333333333333
57,my18,20,An,BO,arousal,7.933333333333334
57,my18,20,An,BO,humanlike,4
58,my18,30,Ha,prototype,valence,5.4
58,my18,30,Ha,prototype,arousal,6.733333333333333
58,my18,30,Ha,prototype,humanlike,4.666666666666667
59,my18,40,Ha,BO,valence,5.866666666666666
59,my18,40,Ha,BO,arousal,6.2
59,my18,40,Ha,BO,humanlike,4.866666666666666
60,my19,10,An,prototype,valence,4.533333333333333
60,my19,10,An,prototype,arousal,5.333333333333333
60,my19,10,An,prototype,humanlike,5.6
61,my19,20,An,BO,valence,4
61,my19,20,An,BO,arousal,5.133333333333334
61,my19,20,An,BO,humanlike,3.933333333333333
62,my19,30,Ha,prototype,valence,3.8666666666666663
62,my19,30,Ha,prototype,arousal,6.333333333333333
62,my19,30,Ha,prototype,humanlike,5.133333333333334
63,my19,40,Ha,BO,valence,3.933333333333333
63,my19,40,Ha,BO,arousal,4.066666666666666
63,my19,40,Ha,BO,humanlike,3
64,my20,10,An,prototype,valence,3
64,my20,10,An,prototype,arousal,6.2
64,my20,10,An,prototype,humanlike,6.866666666666666
65,my20,20,An,BO,valence,2.533333333333333
65,my20,20,An,BO,arousal,6.866666666666666
65,my20,20,An,BO,humanlike,6.466666666666667
66,my20,30,Ha,prototype,valence,6.933333333333334
66,my20,30,Ha,prototype,arousal,6
66,my20,30,Ha,prototype,humanlike,6.466666666666667
67,my20,40,Ha,BO,valence,5.866666666666666
67,my20,40,Ha,BO,arousal,5.4
67,my20,40,Ha,BO,humanlike,5.333333333333333
68,my21,10,An,prototype,valence,2.6666666666666665
68,my21,10,An,prototype,arousal,6.066666666666666
68,my21,10,An,prototype,humanlike,3.7333333333333334
69,my21,20,An,BO,valence,1.7333333333333334
69,my21,20,An,BO,arousal,6.733333333333333
69,my21,20,An,BO,humanlike,4.133333333333334
70,my21,30,Ha,prototype,valence,6.733333333333333
70,my21,30,Ha,prototype,arousal,2.8666666666666667
70,my21,30,Ha,prototype,humanlike,6.133333333333334
71,my21,40,Ha,BO,valence,4.733333333333333
71,my21,40,Ha,BO,arousal,4
71,my21,40,Ha,BO,humanlike,4.8
72,my22,10,An,prototype,valence,3.1333333333333333
72,my22,10,An,prototype,arousal,7.066666666666666
72,my22,10,An,prototype,humanlike,6.466666666666667
73,my22,20,An,BO,valence,3.066666666666667
73,my22,20,An,BO,arousal,7.333333333333333
73,my22,20,An,BO,humanlike,5.666666666666667
74,my22,30,Ha,prototype,valence,7.333333333333333
74,my22,30,Ha,prototype,arousal,5.6
74,my22,30,Ha,prototype,humanlike,5.4
75,my22,40,Ha,BO,valence,6.2
75,my22,40,Ha,BO,arousal,4.866666666666666
75,my22,40,Ha,BO,humanlike,5.133333333333334
76,my23,10,An,prototype,valence,2.1333333333333333
76,my23,10,An,prototype,arousal,4.333333333333333
76,my23,10,An,prototype,humanlike,4.066666666666666
77,my23,20,An,BO,valence,1.9333333333333331
77,my23,20,An,BO,arousal,5.4
77,my23,20,An,BO,humanlike,4
78,my23,30,Ha,prototype,valence,6.266666666666667
78,my23,30,Ha,prototype,arousal,6.666666666666667
78,my23,30,Ha,prototype,humanlike,7.133333333333334
79,my23,40,Ha,BO,valence,5.066666666666666
79,my23,40,Ha,BO,arousal,5.466666666666667
79,my23,40,Ha,BO,humanlike,5.866666666666666
80,my24,10,An,prototype,valence,3.2
80,my24,10,An,prototype,arousal,6.266666666666667
80,my24,10,An,prototype,humanlike,6.533333333333333
81,my24,20,An,BO,valence,2.8
81,my24,20,An,BO,arousal,7.2
81,my24,20,An,BO,humanlike,7.466666666666667
82,my24,30,Ha,prototype,valence,5.133333333333334
82,my24,30,Ha,prototype,arousal,4.733333333333333
82,my24,30,Ha,prototype,humanlike,5.066666666666666
83,my24,40,Ha,BO,valence,3.533333333333333
83,my24,40,Ha,BO,arousal,3.6
83,my24,40,Ha,BO,humanlike,3.066666666666667
84,my25,10,An,prototype,valence,3.7333333333333334
84,my25,10,An,prototype,arousal,6.333333333333333
84,my25,10,An,prototype,humanlike,3.533333333333333
85,my25,20,An,BO,valence,2.8
85,my25,20,An,BO,arousal,6.933333333333334
85,my25,20,An,BO,humanlike,3.2666666666666666
86,my25,30,Ha,prototype,valence,5.933333333333334
86,my25,30,Ha,prototype,arousal,6.6
86,my25,30,Ha,prototype,humanlike,5.8
87,my25,40,Ha,BO,valence,4.533333333333333
87,my25,40,Ha,BO,arousal,6.066666666666666
87,my25,40,Ha,BO,humanlike,4.066666666666666
88,my26,10,An,prototype,valence,2.7333333333333334
88,my26,10,An,prototype,arousal,4.933333333333334
88,my26,10,An,prototype,humanlike,2.1333333333333333
89,my26,20,An,BO,valence,2.3333333333333335
89,my26,20,An,BO,arousal,5.466666666666667
89,my26,20,An,BO,humanlike,1.9333333333333331
90,my26,30,Ha,prototype,valence,4.466666666666667
90,my26,30,Ha,prototype,arousal,4.266666666666667
90,my26,30,Ha,prototype,humanlike,3
91,my26,40,Ha,BO,valence,3.4
91,my26,40,Ha,BO,arousal,3.7333333333333334
91,my26,40,Ha,BO,humanlike,1.9333333333333331
