2024-03-27 15:06:15,417 | INFO | Opened serial port /dev/ttyUSB1
2024-03-27 15:07:02,284 | INFO | Shuffle the conditionsBOAnger: [(39, 0, 1), (40, 2, 8), (41, 3, 14), (40, 3, 9), (39, 2, 3), (40, 0, 6), (40, 1, 7), (39, 3, 4), (40, 4, 10), (39, 0, 1), (41, 2, 13), (39, 4, 5), (41, 1, 12), (41, 0, 11), (41, 4, 15), (39, 1, 2)]
2024-03-27 15:07:02,284 | INFO | Received the serial number 2, index 1, trial number 1, BO anger, duration 975ms, duration type 39, exp type 0
2024-03-27 15:07:05,308 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:07:12,799 | INFO | Shuffle the conditionBOHappy: [(39, 0, 1), (41, 4, 15), (39, 4, 5), (39, 3, 4), (41, 3, 14), (40, 0, 6), (39, 2, 3), (39, 1, 2), (40, 1, 7), (40, 4, 10), (40, 3, 9), (41, 2, 13), (41, 1, 12), (40, 2, 8), (41, 0, 11), (39, 0, 1)]
2024-03-27 15:07:12,799 | INFO | Received the serial number 4, index 1, trial number 1, BO happiness, duration 975ms, duration type 39, exp type 0
2024-03-27 15:07:15,821 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:07:23,578 | INFO | Shuffle the conditionsProHappy: [(39, 0, 1), (41, 0, 11), (40, 4, 10), (40, 3, 9), (39, 0, 1), (40, 0, 6), (41, 3, 14), (41, 1, 12), (41, 2, 13), (40, 1, 7), (41, 4, 15), (39, 4, 5), (40, 2, 8), (39, 1, 2), (39, 3, 4), (39, 2, 3)]
2024-03-27 15:07:23,578 | INFO | Received the serial number 3, index 1, trial number 1, prototype happiness, duration 975ms, duration type 39, exp type 0
2024-03-27 15:07:26,595 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:07:34,356 | INFO | Shuffle the conditionsProAnger: [(39, 0, 1), (40, 1, 7), (41, 2, 13), (39, 3, 4), (39, 4, 5), (41, 0, 11), (39, 2, 3), (40, 0, 6), (40, 4, 10), (41, 3, 14), (40, 3, 9), (41, 4, 15), (41, 1, 12), (39, 1, 2), (40, 2, 8), (39, 0, 1)]
2024-03-27 15:07:34,356 | INFO | Received the serial number 1, index 1, trial number 1, prototype anger, duration 975ms, duration type 39, exp type 0
2024-03-27 15:07:37,378 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:08:19,468 | INFO | Received the serial number 2, index 8, trial number 2, BO anger, duration 1000ms, duration type 40, exp type 2
2024-03-27 15:08:22,519 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:08:29,983 | INFO | Received the serial number 1, index 7, trial number 2, prototype anger, duration 1000ms, duration type 40, exp type 1
2024-03-27 15:08:33,033 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:08:40,762 | INFO | Received the serial number 4, index 15, trial number 2, BO happiness, duration 1025ms, duration type 41, exp type 4
2024-03-27 15:08:43,836 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:08:51,540 | INFO | Received the serial number 4, index 5, trial number 3, BO happiness, duration 975ms, duration type 39, exp type 4
2024-03-27 15:08:54,566 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:09:03,319 | INFO | Received the serial number 1, index 13, trial number 3, prototype anger, duration 1025ms, duration type 41, exp type 2
2024-03-27 15:09:06,395 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:09:14,597 | INFO | Received the serial number 4, index 4, trial number 4, BO happiness, duration 975ms, duration type 39, exp type 3
2024-03-27 15:09:17,618 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:09:25,375 | INFO | Received the serial number 1, index 4, trial number 4, prototype anger, duration 975ms, duration type 39, exp type 3
2024-03-27 15:09:28,395 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:09:36,403 | INFO | Received the serial number 4, index 14, trial number 5, BO happiness, duration 1025ms, duration type 41, exp type 3
2024-03-27 15:09:39,480 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:09:47,932 | INFO | Received the serial number 4, index 6, trial number 6, BO happiness, duration 1000ms, duration type 40, exp type 0
2024-03-27 15:09:50,978 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:09:59,210 | INFO | Received the serial number 2, index 14, trial number 3, BO anger, duration 1025ms, duration type 41, exp type 3
2024-03-27 15:10:02,287 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:10:09,988 | INFO | Received the serial number 3, index 11, trial number 2, prototype happiness, duration 1025ms, duration type 41, exp type 0
2024-03-27 15:10:13,062 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:10:20,767 | INFO | Received the serial number 2, index 9, trial number 4, BO anger, duration 1000ms, duration type 40, exp type 3
2024-03-27 15:10:23,816 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:10:31,295 | INFO | Received the serial number 4, index 3, trial number 7, BO happiness, duration 975ms, duration type 39, exp type 2
2024-03-27 15:10:34,319 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:10:42,324 | INFO | Received the serial number 3, index 10, trial number 3, prototype happiness, duration 1000ms, duration type 40, exp type 4
2024-03-27 15:10:45,373 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:10:53,852 | INFO | Received the serial number 2, index 3, trial number 5, BO anger, duration 975ms, duration type 39, exp type 2
2024-03-27 15:10:56,878 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:11:04,880 | INFO | Received the serial number 2, index 6, trial number 6, BO anger, duration 1000ms, duration type 40, exp type 0
2024-03-27 15:11:07,930 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:11:15,409 | INFO | Received the serial number 3, index 9, trial number 4, prototype happiness, duration 1000ms, duration type 40, exp type 3
2024-03-27 15:11:18,459 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:11:27,437 | INFO | Received the serial number 4, index 2, trial number 8, BO happiness, duration 975ms, duration type 39, exp type 1
2024-03-27 15:11:30,461 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:11:37,965 | INFO | Received the serial number 1, index 5, trial number 5, prototype anger, duration 975ms, duration type 39, exp type 4
2024-03-27 15:11:40,989 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:11:49,994 | INFO | Received the serial number 3, index 1, trial number 5, prototype happiness, duration 975ms, duration type 39, exp type 0
2024-03-27 15:11:53,019 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:12:00,772 | INFO | Received the serial number 1, index 11, trial number 6, prototype anger, duration 1025ms, duration type 41, exp type 0
2024-03-27 15:12:03,847 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:12:11,300 | INFO | Received the serial number 4, index 7, trial number 9, BO happiness, duration 1000ms, duration type 40, exp type 1
2024-03-27 15:12:14,349 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:12:21,829 | INFO | Received the serial number 2, index 7, trial number 7, BO anger, duration 1000ms, duration type 40, exp type 1
2024-03-27 15:12:24,881 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:12:32,857 | INFO | Received the serial number 3, index 6, trial number 6, prototype happiness, duration 1000ms, duration type 40, exp type 0
2024-03-27 15:12:35,908 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:12:44,885 | INFO | Received the serial number 1, index 3, trial number 7, prototype anger, duration 975ms, duration type 39, exp type 2
2024-03-27 15:12:47,909 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:12:55,663 | INFO | Received the serial number 1, index 6, trial number 8, prototype anger, duration 1000ms, duration type 40, exp type 0
2024-03-27 15:12:58,709 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:13:07,442 | INFO | Received the serial number 3, index 14, trial number 7, prototype happiness, duration 1025ms, duration type 41, exp type 3
2024-03-27 15:13:10,520 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:13:18,470 | INFO | Received the serial number 2, index 4, trial number 8, BO anger, duration 975ms, duration type 39, exp type 3
2024-03-27 15:13:21,493 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:13:30,248 | INFO | Received the serial number 2, index 10, trial number 9, BO anger, duration 1000ms, duration type 40, exp type 4
2024-03-27 15:13:33,301 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:13:42,526 | INFO | Received the serial number 3, index 12, trial number 8, prototype happiness, duration 1025ms, duration type 41, exp type 1
2024-03-27 15:13:45,601 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:13:53,804 | INFO | Received the serial number 3, index 13, trial number 9, prototype happiness, duration 1025ms, duration type 41, exp type 2
2024-03-27 15:13:56,883 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:14:05,832 | INFO | Received the serial number 1, index 10, trial number 9, prototype anger, duration 1000ms, duration type 40, exp type 4
2024-03-27 15:14:08,886 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:14:55,374 | INFO | Received the serial number 3, index 7, trial number 10, prototype happiness, duration 1000ms, duration type 40, exp type 1
2024-03-27 15:14:58,428 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:15:06,390 | INFO | Received the serial number 3, index 15, trial number 11, prototype happiness, duration 1025ms, duration type 41, exp type 4
2024-03-27 15:15:09,468 | INFO | Received the serial number 0, neutral state.
2024-03-27 15:15:17,168 | INFO | Received the serial number 1, index 14, trial number 10, prototype anger, duration 1025ms, duration type 41, exp type 3
2024-03-27 15:15:20,246 | INFO | Received the serial number 0, neutral state.
