2024-03-28 09:59:00,364 | INFO | Opened serial port /dev/ttyUSB1
2024-03-28 10:38:37,599 | INFO | Shuffle the conditionBOHappy: [(39, 0, 1), (39, 2, 3), (41, 0, 11), (39, 1, 2), (39, 3, 4), (40, 4, 10), (40, 2, 8), (41, 1, 12), (40, 3, 9), (40, 0, 6), (41, 2, 13), (39, 0, 1), (39, 4, 5), (41, 3, 14), (40, 1, 7), (41, 4, 15)]
2024-03-28 10:38:37,600 | INFO | Received the serial number 4, index 1, trial number 1, BO happiness, duration 975ms, duration type 39, exp type 0
2024-03-28 10:38:40,634 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:38:48,115 | INFO | Shuffle the conditionsBOAnger: [(39, 0, 1), (41, 2, 13), (39, 4, 5), (41, 3, 14), (40, 2, 8), (40, 1, 7), (41, 1, 12), (39, 1, 2), (41, 4, 15), (39, 2, 3), (40, 0, 6), (40, 3, 9), (40, 4, 10), (41, 0, 11), (39, 0, 1), (39, 3, 4)]
2024-03-28 10:38:48,115 | INFO | Received the serial number 2, index 1, trial number 1, BO anger, duration 975ms, duration type 39, exp type 0
2024-03-28 10:38:51,149 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:38:58,894 | INFO | Shuffle the conditionsProHappy: [(39, 0, 1), (40, 1, 7), (40, 3, 9), (41, 1, 12), (39, 4, 5), (40, 0, 6), (41, 2, 13), (41, 0, 11), (39, 2, 3), (39, 1, 2), (39, 3, 4), (39, 0, 1), (40, 4, 10), (41, 3, 14), (40, 2, 8), (41, 4, 15)]
2024-03-28 10:38:58,894 | INFO | Received the serial number 3, index 1, trial number 1, prototype happiness, duration 975ms, duration type 39, exp type 0
2024-03-28 10:39:01,927 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:39:09,671 | INFO | Shuffle the conditionsProAnger: [(39, 0, 1), (40, 0, 6), (41, 2, 13), (39, 0, 1), (39, 3, 4), (39, 4, 5), (39, 2, 3), (40, 1, 7), (41, 4, 15), (40, 3, 9), (40, 2, 8), (40, 4, 10), (41, 3, 14), (41, 0, 11), (39, 1, 2), (41, 1, 12)]
2024-03-28 10:39:09,672 | INFO | Received the serial number 1, index 1, trial number 1, prototype anger, duration 975ms, duration type 39, exp type 0
2024-03-28 10:39:12,708 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:40:06,588 | INFO | Received the serial number 3, index 7, trial number 2, prototype happiness, duration 1000ms, duration type 40, exp type 1
2024-03-28 10:40:09,649 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:40:17,104 | INFO | Received the serial number 2, index 13, trial number 2, BO anger, duration 1025ms, duration type 41, exp type 2
2024-03-28 10:40:20,193 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:40:27,882 | INFO | Received the serial number 2, index 5, trial number 3, BO anger, duration 975ms, duration type 39, exp type 4
2024-03-28 10:40:30,920 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:40:38,661 | INFO | Received the serial number 4, index 3, trial number 2, BO happiness, duration 975ms, duration type 39, exp type 2
2024-03-28 10:40:41,699 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:40:50,439 | INFO | Received the serial number 2, index 14, trial number 4, BO anger, duration 1025ms, duration type 41, exp type 3
2024-03-28 10:40:53,526 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:41:01,717 | INFO | Received the serial number 3, index 9, trial number 3, prototype happiness, duration 1000ms, duration type 40, exp type 3
2024-03-28 10:41:04,782 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:41:12,496 | INFO | Received the serial number 1, index 6, trial number 2, prototype anger, duration 1000ms, duration type 40, exp type 0
2024-03-28 10:41:15,553 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:41:23,524 | INFO | Received the serial number 3, index 12, trial number 4, prototype happiness, duration 1025ms, duration type 41, exp type 1
2024-03-28 10:41:26,611 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:41:35,053 | INFO | Received the serial number 4, index 11, trial number 3, BO happiness, duration 1025ms, duration type 41, exp type 0
2024-03-28 10:41:38,142 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:41:46,331 | INFO | Received the serial number 1, index 13, trial number 3, prototype anger, duration 1025ms, duration type 41, exp type 2
2024-03-28 10:41:49,422 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:41:57,109 | INFO | Received the serial number 4, index 2, trial number 4, BO happiness, duration 975ms, duration type 39, exp type 1
2024-03-28 10:42:00,148 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:42:07,887 | INFO | Received the serial number 1, index 1, trial number 4, prototype anger, duration 975ms, duration type 39, exp type 0
2024-03-28 10:42:10,924 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:42:18,416 | INFO | Received the serial number 1, index 4, trial number 5, prototype anger, duration 975ms, duration type 39, exp type 3
2024-03-28 10:42:21,451 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:42:29,444 | INFO | Received the serial number 4, index 4, trial number 5, BO happiness, duration 975ms, duration type 39, exp type 3
2024-03-28 10:42:32,483 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:42:40,973 | INFO | Received the serial number 4, index 10, trial number 6, BO happiness, duration 1000ms, duration type 40, exp type 4
2024-03-28 10:42:44,037 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:42:52,001 | INFO | Received the serial number 2, index 8, trial number 5, BO anger, duration 1000ms, duration type 40, exp type 2
2024-03-28 10:42:55,064 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:43:02,529 | INFO | Received the serial number 1, index 5, trial number 6, prototype anger, duration 975ms, duration type 39, exp type 4
2024-03-28 10:43:05,565 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:43:14,558 | INFO | Received the serial number 3, index 5, trial number 5, prototype happiness, duration 975ms, duration type 39, exp type 4
2024-03-28 10:43:17,593 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:43:25,085 | INFO | Received the serial number 4, index 8, trial number 7, BO happiness, duration 1000ms, duration type 40, exp type 2
2024-03-28 10:43:28,149 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:43:37,114 | INFO | Received the serial number 2, index 7, trial number 6, BO anger, duration 1000ms, duration type 40, exp type 1
2024-03-28 10:43:40,173 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:43:47,892 | INFO | Received the serial number 1, index 3, trial number 7, prototype anger, duration 975ms, duration type 39, exp type 2
2024-03-28 10:43:50,933 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:43:58,420 | INFO | Received the serial number 3, index 6, trial number 6, prototype happiness, duration 1000ms, duration type 40, exp type 0
2024-03-28 10:44:01,482 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:44:08,949 | INFO | Received the serial number 1, index 7, trial number 8, prototype anger, duration 1000ms, duration type 40, exp type 1
2024-03-28 10:44:12,010 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:44:19,978 | INFO | Received the serial number 3, index 13, trial number 7, prototype happiness, duration 1025ms, duration type 41, exp type 2
2024-03-28 10:44:23,068 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:44:32,006 | INFO | Received the serial number 2, index 12, trial number 7, BO anger, duration 1025ms, duration type 41, exp type 1
2024-03-28 10:44:35,094 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:44:42,784 | INFO | Received the serial number 3, index 11, trial number 8, prototype happiness, duration 1025ms, duration type 41, exp type 0
2024-03-28 10:44:45,876 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:44:54,562 | INFO | Received the serial number 4, index 12, trial number 8, BO happiness, duration 1025ms, duration type 41, exp type 1
2024-03-28 10:44:57,658 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:45:05,590 | INFO | Received the serial number 2, index 2, trial number 8, BO anger, duration 975ms, duration type 39, exp type 1
2024-03-28 10:45:08,629 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:45:17,369 | INFO | Received the serial number 1, index 15, trial number 9, prototype anger, duration 1025ms, duration type 41, exp type 4
2024-03-28 10:45:20,461 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:45:29,647 | INFO | Received the serial number 4, index 9, trial number 9, BO happiness, duration 1000ms, duration type 40, exp type 3
2024-03-28 10:45:32,715 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:45:40,924 | INFO | Received the serial number 2, index 15, trial number 9, BO anger, duration 1025ms, duration type 41, exp type 4
2024-03-28 10:45:44,014 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:45:52,953 | INFO | Received the serial number 3, index 3, trial number 9, prototype happiness, duration 975ms, duration type 39, exp type 2
2024-03-28 10:45:55,989 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:47:34,841 | INFO | Received the serial number 2, index 3, trial number 10, BO anger, duration 975ms, duration type 39, exp type 2
2024-03-28 10:47:37,880 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:47:45,857 | INFO | Received the serial number 3, index 2, trial number 10, prototype happiness, duration 975ms, duration type 39, exp type 1
2024-03-28 10:47:48,893 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:47:56,635 | INFO | Received the serial number 3, index 4, trial number 11, prototype happiness, duration 975ms, duration type 39, exp type 3
2024-03-28 10:47:59,670 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:48:07,913 | INFO | Received the serial number 2, index 6, trial number 11, BO anger, duration 1000ms, duration type 40, exp type 0
2024-03-28 10:48:10,980 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:48:20,192 | INFO | Received the serial number 1, index 9, trial number 10, prototype anger, duration 1000ms, duration type 40, exp type 3
2024-03-28 10:48:23,256 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:48:30,969 | INFO | Received the serial number 3, index 1, trial number 12, prototype happiness, duration 975ms, duration type 39, exp type 0
2024-03-28 10:48:34,010 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:48:42,248 | INFO | Received the serial number 3, index 10, trial number 13, prototype happiness, duration 1000ms, duration type 40, exp type 4
2024-03-28 10:48:45,312 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:48:52,776 | INFO | Received the serial number 2, index 9, trial number 12, BO anger, duration 1000ms, duration type 40, exp type 3
2024-03-28 10:48:55,841 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:49:03,305 | INFO | Received the serial number 1, index 8, trial number 11, prototype anger, duration 1000ms, duration type 40, exp type 2
2024-03-28 10:49:06,369 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:49:14,083 | INFO | Received the serial number 4, index 6, trial number 10, BO happiness, duration 1000ms, duration type 40, exp type 0
2024-03-28 10:49:17,150 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:49:25,362 | INFO | Received the serial number 4, index 13, trial number 11, BO happiness, duration 1025ms, duration type 41, exp type 2
2024-03-28 10:49:28,456 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:49:36,140 | INFO | Received the serial number 1, index 10, trial number 12, prototype anger, duration 1000ms, duration type 40, exp type 4
2024-03-28 10:49:39,210 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:49:47,669 | INFO | Received the serial number 1, index 14, trial number 13, prototype anger, duration 1025ms, duration type 41, exp type 3
2024-03-28 10:49:50,763 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:49:58,196 | INFO | Received the serial number 4, index 1, trial number 12, BO happiness, duration 975ms, duration type 39, exp type 0
2024-03-28 10:50:01,237 | INFO | Received the serial number 0, neutral state.
2024-03-28 10:50:08,725 | INFO | Received the serial number 1, index 11, trial number 14, prototype anger, duration 1025ms, duration type 41, exp type 0
2024-03-28 10:50:11,816 | INFO | Received the serial number 0, neutral state.
