frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,0.66,0.00,0.25,1.77,0.00,0.76,0.61,1.71,0.00,0.00,0.26,0.00,0.00,0.18,0.32,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.033,0.98,1,0.02,0.00,0.79,0.00,0.22,1.38,0.00,0.81,0.74,1.46,0.00,0.03,0.16,0.00,0.00,0.08,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.067,0.98,1,0.22,0.09,0.84,0.00,0.14,1.30,0.00,0.80,0.78,1.47,0.00,0.03,0.10,0.00,0.04,0.02,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.100,0.98,1,0.37,0.09,0.88,0.00,0.06,1.34,0.00,0.68,0.77,1.54,0.00,0.02,0.03,0.00,0.08,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.133,0.98,1,0.53,0.15,0.93,0.00,0.07,1.67,0.00,0.78,0.72,1.73,0.00,0.07,0.03,0.06,0.14,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.167,0.98,1,0.46,0.07,1.04,0.00,0.15,1.72,0.00,0.86,0.72,1.80,0.00,0.19,0.02,0.09,0.15,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.200,0.98,1,0.45,0.09,1.06,0.00,0.17,1.99,0.00,0.99,0.73,1.75,0.00,0.16,0.02,0.09,0.17,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.233,0.98,1,0.42,0.02,1.01,0.00,0.14,2.09,0.00,1.00,0.72,1.61,0.00,0.11,0.02,0.04,0.15,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.267,0.98,1,0.44,0.05,1.00,0.00,0.07,2.19,0.00,1.00,0.70,1.49,0.00,0.00,0.01,0.00,0.17,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.300,0.98,1,0.41,0.11,1.02,0.00,0.08,2.15,0.00,1.06,0.70,1.54,0.00,0.00,0.01,0.01,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.333,0.98,1,0.30,0.13,0.98,0.00,0.09,2.15,0.00,0.98,0.73,1.52,0.00,0.03,0.01,0.00,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
