frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
20,0,0.633,0.98,1,0.09,0.00,0.71,0.04,0.78,2.78,0.00,1.02,1.20,2.32,0.02,0.05,0.00,0.06,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
21,0,0.667,0.98,1,0.09,0.00,0.74,0.04,0.78,2.67,0.00,1.14,1.20,2.33,0.06,0.15,0.00,0.06,0.12,0.14,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
22,0,0.700,0.98,1,0.14,0.00,0.68,0.04,0.80,2.52,0.00,1.28,1.17,2.27,0.11,0.24,0.00,0.06,0.05,0.10,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
23,0,0.733,0.98,1,0.19,0.00,0.69,0.00,0.76,2.45,0.00,1.35,1.20,2.16,0.16,0.24,0.00,0.00,0.10,0.18,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
24,0,0.767,0.98,1,0.15,0.00,0.55,0.00,0.78,2.41,0.00,1.25,1.16,2.08,0.16,0.15,0.00,0.00,0.12,0.18,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
25,0,0.800,0.98,1,0.12,0.00,0.57,0.00,0.74,2.41,0.00,1.24,1.17,2.01,0.13,0.11,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,0,0.833,0.98,1,0.12,0.00,0.56,0.00,0.75,2.32,0.00,1.19,1.17,1.92,0.08,0.05,0.00,0.00,0.28,0.15,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,0,0.867,0.98,1,0.17,0.00,0.68,0.00,0.72,2.41,0.02,1.23,1.17,1.95,0.04,0.04,0.00,0.00,0.31,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,0,0.900,0.98,1,0.22,0.00,0.68,0.00,0.74,2.44,0.02,1.19,1.20,2.01,0.00,0.00,0.00,0.00,0.25,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,0,0.933,0.98,1,0.24,0.00,0.75,0.02,0.70,2.46,0.04,1.15,1.18,2.10,0.00,0.00,0.03,0.00,0.18,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,0,0.967,0.98,1,0.27,0.00,0.76,0.03,0.64,2.36,0.02,1.14,1.19,2.13,0.00,0.00,0.03,0.00,0.15,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,0,1.000,0.98,1,0.29,0.00,0.72,0.05,0.60,2.32,0.02,1.12,1.12,2.21,0.00,0.00,0.03,0.00,0.17,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0,1.033,0.98,1,0.31,0.00,0.69,0.02,0.60,2.31,0.01,1.12,1.12,2.20,0.00,0.00,0.01,0.00,0.17,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,0,1.067,0.98,1,0.25,0.00,0.67,0.03,0.57,2.36,0.00,1.11,1.12,2.23,0.01,0.00,0.01,0.00,0.18,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,0,1.100,0.98,1,0.19,0.00,0.72,0.01,0.56,2.48,0.00,1.09,1.18,2.19,0.01,0.00,0.00,0.00,0.18,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,0,1.133,0.98,1,0.11,0.00,0.78,0.01,0.57,2.51,0.00,1.10,1.19,2.24,0.01,0.00,0.01,0.00,0.16,0.20,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0,1.167,0.98,1,0.07,0.00,0.78,0.05,0.60,2.40,0.00,1.10,1.19,2.19,0.00,0.03,0.01,0.00,0.23,0.23,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,0,1.200,0.98,1,0.04,0.00,0.84,0.05,0.60,2.06,0.00,1.17,1.16,2.26,0.04,0.05,0.01,0.00,0.26,0.15,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,0,1.233,0.98,1,0.04,0.00,0.87,0.05,0.61,1.95,0.03,1.25,1.14,2.28,0.04,0.08,0.00,0.00,0.20,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0,1.267,0.98,1,0.04,0.00,0.92,0.00,0.62,1.96,0.03,1.33,1.15,2.28,0.09,0.09,0.00,0.00,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,0,1.300,0.98,1,0.06,0.00,0.91,0.00,0.63,2.07,0.03,1.37,1.18,2.20,0.18,0.08,0.00,0.00,0.11,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,0,1.333,0.98,1,0.06,0.00,0.87,0.00,0.63,2.18,0.00,1.39,1.22,2.15,0.22,0.06,0.00,0.00,0.15,0.16,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,0,1.367,0.98,1,0.08,0.00,0.87,0.00,0.62,2.19,0.00,1.41,1.22,2.15,0.20,0.04,0.00,0.00,0.16,0.14,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,0,1.400,0.98,1,0.09,0.00,0.87,0.00,0.63,2.22,0.00,1.41,1.21,2.15,0.11,0.04,0.00,0.00,0.09,0.09,0.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,0,1.433,0.98,1,0.08,0.00,0.80,0.00,0.58,2.23,0.00,1.41,1.17,2.16,0.14,0.02,0.00,0.00,0.03,0.12,0.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,0,1.467,0.98,1,0.10,0.00,0.78,0.00,0.61,2.27,0.00,1.29,1.15,2.16,0.11,0.00,0.04,0.00,0.09,0.09,0.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,0,1.500,0.98,1,0.06,0.00,0.76,0.00,0.62,2.32,0.00,1.27,1.14,2.21,0.08,0.00,0.05,0.00,0.12,0.05,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,0,1.533,0.98,1,0.05,0.00,0.89,0.00,0.65,2.25,0.00,1.28,1.16,2.23,0.04,0.05,0.05,0.00,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,0,1.567,0.98,1,0.06,0.04,0.90,0.02,0.63,2.10,0.00,1.28,1.16,2.17,0.04,0.13,0.03,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,0,1.600,0.98,1,0.06,0.05,0.88,0.02,0.63,2.04,0.01,1.20,1.14,2.16,0.11,0.22,0.10,0.00,0.03,0.07,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,0,1.633,0.98,1,0.04,0.05,0.73,0.02,0.68,2.00,0.02,1.19,1.14,2.08,0.07,0.24,0.15,0.00,0.11,0.13,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,0,1.667,0.98,1,0.00,0.02,0.68,0.00,0.68,2.08,0.04,1.17,1.10,2.09,0.10,0.25,0.19,0.00,0.08,0.13,0.06,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,0,1.700,0.98,1,0.03,0.05,0.62,0.00,0.69,2.10,0.03,1.17,1.10,1.93,0.06,0.22,0.11,0.01,0.12,0.11,0.06,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
