frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
11,0,0.333,0.98,1,1.09,1.02,1.02,0.01,0.00,0.44,0.00,0.14,0.77,0.05,0.00,0.06,0.00,0.00,0.58,0.03,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
12,0,0.367,0.98,1,1.03,1.08,1.08,0.01,0.00,0.40,0.00,0.10,0.80,0.02,0.00,0.04,0.00,0.00,0.57,0.03,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
13,0,0.400,0.98,1,0.86,0.94,1.05,0.01,0.04,0.46,0.00,0.07,0.88,0.11,0.00,0.08,0.00,0.00,0.55,0.12,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
14,0,0.433,0.98,1,0.67,0.75,0.98,0.00,0.18,0.64,0.00,0.08,0.98,0.32,0.03,0.07,0.00,0.00,0.55,0.36,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
15,0,0.467,0.98,1,0.47,0.51,0.87,0.00,0.42,0.92,0.00,0.20,1.17,0.78,0.16,0.07,0.09,0.00,0.60,0.58,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
16,0,0.500,0.98,1,0.29,0.27,0.71,0.00,0.67,1.15,0.00,0.15,1.29,1.11,0.24,0.04,0.16,0.00,0.54,0.72,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
17,0,0.533,0.98,1,0.18,0.09,0.59,0.00,0.92,1.57,0.00,0.21,1.44,1.33,0.27,0.03,0.17,0.00,0.37,0.68,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
18,0,0.567,0.98,1,0.09,0.03,0.50,0.00,1.09,1.86,0.00,0.27,1.52,1.30,0.22,0.12,0.08,0.04,0.13,0.76,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
19,0,0.600,0.98,1,0.05,0.02,0.46,0.04,1.26,2.00,0.00,0.43,1.63,1.31,0.17,0.16,0.01,0.08,0.02,0.64,0.06,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
20,0,0.633,0.98,1,0.00,0.00,0.41,0.04,1.35,1.90,0.00,0.47,1.67,1.28,0.10,0.21,0.02,0.16,0.00,0.59,0.06,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
21,0,0.667,0.98,1,0.00,0.00,0.40,0.04,1.40,2.01,0.00,0.39,1.68,1.26,0.03,0.17,0.02,0.20,0.00,0.38,0.11,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
22,0,0.700,0.98,1,0.00,0.00,0.42,0.01,1.43,2.19,0.00,0.34,1.67,1.31,0.00,0.11,0.02,0.26,0.00,0.32,0.04,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
23,0,0.733,0.98,1,0.00,0.00,0.43,0.01,1.41,2.42,0.00,0.32,1.65,1.27,0.00,0.06,0.00,0.32,0.00,0.24,0.06,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
