frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,0.39,0.02,0.22,1.99,0.00,0.76,0.72,1.56,0.00,0.12,0.53,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.033,0.98,1,0.00,0.00,0.82,0.01,0.24,1.87,0.00,0.97,0.91,1.72,0.08,0.07,0.39,0.00,0.00,0.17,0.23,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.067,0.98,1,0.09,0.00,1.01,0.00,0.28,1.78,0.00,1.12,0.98,1.85,0.11,0.13,0.24,0.00,0.01,0.27,0.25,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.100,0.98,1,0.17,0.00,0.91,0.00,0.34,1.69,0.00,1.16,0.96,1.90,0.13,0.21,0.22,0.00,0.03,0.29,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.133,0.98,1,0.25,0.00,0.87,0.00,0.34,1.61,0.00,1.25,0.91,1.94,0.18,0.26,0.12,0.00,0.04,0.26,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.167,0.98,1,0.26,0.00,0.81,0.00,0.33,1.63,0.00,1.29,0.87,1.94,0.28,0.30,0.12,0.01,0.03,0.17,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.200,0.98,1,0.26,0.02,0.87,0.00,0.29,1.75,0.00,1.24,0.80,1.94,0.30,0.29,0.09,0.01,0.00,0.06,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.233,0.98,1,0.29,0.11,0.90,0.00,0.27,1.87,0.00,1.20,0.77,1.95,0.24,0.26,0.07,0.01,0.00,0.03,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.267,0.98,1,0.26,0.15,0.93,0.00,0.26,1.90,0.00,1.13,0.77,1.89,0.15,0.18,0.03,0.00,0.00,0.07,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.300,0.98,1,0.25,0.22,0.86,0.00,0.26,1.89,0.00,1.12,0.81,1.87,0.14,0.15,0.07,0.00,0.00,0.12,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.333,0.98,1,0.16,0.13,0.85,0.00,0.28,1.72,0.00,1.11,0.86,1.82,0.09,0.11,0.10,0.00,0.00,0.12,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0,0.367,0.98,1,0.09,0.09,0.86,0.00,0.30,1.63,0.00,1.14,0.93,1.84,0.05,0.09,0.10,0.00,0.00,0.05,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0,0.400,0.98,1,0.02,0.00,0.91,0.00,0.31,1.51,0.00,1.17,0.94,1.85,0.02,0.12,0.05,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0,0.433,0.98,1,0.01,0.00,0.93,0.00,0.31,1.54,0.01,1.17,0.93,1.86,0.03,0.16,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0,0.467,0.98,1,0.02,0.00,0.95,0.00,0.35,1.65,0.01,1.20,0.90,1.87,0.07,0.20,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0,0.500,0.98,1,0.02,0.01,0.99,0.00,0.43,1.87,0.01,1.25,0.93,1.84,0.13,0.19,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,0,0.533,0.98,1,0.06,0.04,0.94,0.00,0.47,2.00,0.00,1.29,0.94,1.85,0.17,0.22,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0,0.567,0.98,1,0.11,0.14,0.94,0.00,0.47,2.01,0.00,1.29,0.93,1.83,0.19,0.18,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,0,0.600,0.98,1,0.10,0.13,0.88,0.00,0.50,1.83,0.00,1.29,0.99,1.86,0.16,0.19,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,0,0.633,0.98,1,0.07,0.10,0.94,0.00,0.55,1.82,0.00,1.25,1.06,1.84,0.15,0.22,0.00,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0,0.667,0.98,1,0.01,0.00,0.89,0.01,0.58,1.79,0.01,1.23,1.12,1.89,0.07,0.30,0.02,0.00,0.14,0.00,0.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
