frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
46,0,1.500,0.98,1,0.00,0.00,1.47,0.14,0.00,1.40,0.03,0.00,0.46,0.01,0.00,0.17,0.00,0.00,0.60,0.06,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
47,0,1.533,0.98,1,0.00,0.00,1.44,0.12,0.00,1.36,0.04,0.00,0.43,0.00,0.00,0.13,0.00,0.00,0.62,0.08,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
48,0,1.567,0.98,1,0.01,0.00,1.42,0.05,0.00,1.41,0.05,0.00,0.42,0.01,0.00,0.06,0.00,0.00,0.67,0.08,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
49,0,1.600,0.98,1,0.06,0.00,1.40,0.00,0.00,1.36,0.10,0.00,0.43,0.09,0.00,0.00,0.00,0.00,0.69,0.07,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
50,0,1.633,0.98,1,0.08,0.00,1.35,0.00,0.00,1.29,0.08,0.00,0.45,0.12,0.00,0.00,0.00,0.00,0.61,0.03,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,0,1.667,0.98,1,0.07,0.00,1.32,0.00,0.00,1.12,0.06,0.00,0.47,0.13,0.00,0.00,0.00,0.00,0.51,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,0,1.700,0.98,1,0.10,0.00,1.26,0.00,0.00,1.11,0.03,0.00,0.47,0.12,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,0,1.733,0.98,1,0.08,0.00,1.24,0.00,0.00,1.10,0.02,0.00,0.52,0.29,0.00,0.04,0.00,0.00,0.31,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,0,1.767,0.98,1,0.12,0.00,1.16,0.00,0.01,1.16,0.02,0.00,0.63,0.65,0.00,0.13,0.05,0.00,0.25,0.09,0.03,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
55,0,1.800,0.98,1,0.04,0.00,1.07,0.00,0.04,1.22,0.00,0.00,0.79,1.05,0.00,0.24,0.16,0.00,0.13,0.14,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
56,0,1.833,0.98,1,0.08,0.00,0.98,0.00,0.10,1.40,0.00,0.00,0.94,1.41,0.00,0.37,0.30,0.00,0.08,0.18,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
57,0,1.867,0.98,1,0.09,0.00,0.96,0.00,0.16,1.45,0.00,0.01,1.04,1.64,0.00,0.32,0.30,0.01,0.01,0.13,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
58,0,1.900,0.98,1,0.10,0.00,0.98,0.00,0.24,1.50,0.00,0.09,1.08,1.75,0.00,0.29,0.26,0.05,0.01,0.10,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
59,0,1.933,0.98,1,0.06,0.00,1.00,0.00,0.27,1.39,0.00,0.10,1.11,1.71,0.00,0.24,0.21,0.08,0.00,0.12,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
60,0,1.967,0.98,1,0.06,0.00,0.95,0.00,0.28,1.35,0.00,0.11,1.14,1.62,0.00,0.27,0.29,0.07,0.00,0.07,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
61,0,2.000,0.98,1,0.05,0.00,0.91,0.00,0.28,1.39,0.00,0.08,1.18,1.60,0.00,0.28,0.29,0.04,0.00,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
62,0,2.033,0.98,1,0.05,0.00,0.93,0.00,0.28,1.50,0.00,0.06,1.16,1.67,0.00,0.26,0.31,0.02,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
63,0,2.067,0.98,1,0.00,0.00,0.95,0.00,0.29,1.58,0.00,0.04,1.14,1.72,0.00,0.27,0.29,0.01,0.01,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
64,0,2.100,0.98,1,0.00,0.00,0.95,0.00,0.25,1.59,0.00,0.00,1.10,1.70,0.00,0.29,0.28,0.02,0.04,0.02,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
65,0,2.133,0.98,1,0.00,0.06,0.95,0.00,0.27,1.55,0.00,0.00,1.11,1.73,0.00,0.38,0.28,0.02,0.05,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
66,0,2.167,0.98,1,0.00,0.06,0.99,0.00,0.27,1.52,0.00,0.00,1.15,1.73,0.00,0.40,0.21,0.03,0.04,0.07,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
67,0,2.200,0.98,1,0.00,0.06,1.04,0.00,0.29,1.40,0.00,0.00,1.21,1.81,0.00,0.38,0.24,0.02,0.01,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
68,0,2.233,0.98,1,0.00,0.00,1.11,0.00,0.30,1.24,0.00,0.00,1.28,1.84,0.00,0.28,0.18,0.03,0.00,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
69,0,2.267,0.98,1,0.00,0.05,1.11,0.00,0.33,1.23,0.00,0.00,1.26,1.97,0.00,0.29,0.26,0.04,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
70,0,2.300,0.98,1,0.00,0.10,1.08,0.00,0.39,1.30,0.00,0.00,1.25,1.99,0.00,0.32,0.22,0.06,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
71,0,2.333,0.98,1,0.01,0.18,0.97,0.00,0.41,1.46,0.00,0.00,1.22,2.00,0.00,0.40,0.27,0.06,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
72,0,2.367,0.98,1,0.01,0.13,0.94,0.00,0.40,1.63,0.00,0.00,1.24,1.93,0.02,0.46,0.18,0.06,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
