frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,0.00,0.48,1.21,1.67,0.00,0.54,1.79,1.73,0.00,0.00,0.00,0.00,0.19,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.033,0.98,1,0.00,0.00,0.05,0.16,1.35,1.84,0.00,0.69,1.90,1.74,0.00,0.00,0.00,0.00,0.16,0.01,0.26,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.067,0.98,1,0.00,0.00,0.09,0.00,1.44,1.89,0.00,0.85,1.98,1.79,0.00,0.00,0.00,0.00,0.11,0.01,0.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.100,0.98,1,0.00,0.00,0.11,0.05,1.51,1.83,0.00,0.95,2.05,1.79,0.00,0.00,0.00,0.04,0.08,0.00,0.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.133,0.98,1,0.00,0.00,0.05,0.05,1.53,1.89,0.00,1.01,2.12,1.87,0.00,0.00,0.00,0.08,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.167,0.98,1,0.00,0.00,0.02,0.05,1.59,1.90,0.00,0.98,2.15,1.90,0.00,0.00,0.00,0.10,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.200,0.98,1,0.00,0.00,0.00,0.00,1.60,1.97,0.00,0.90,2.12,1.93,0.00,0.00,0.00,0.10,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.233,0.98,1,0.00,0.00,0.00,0.00,1.66,1.96,0.00,0.89,2.13,1.92,0.00,0.00,0.00,0.10,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.267,0.98,1,0.00,0.00,0.00,0.02,1.64,1.93,0.00,0.88,2.11,1.94,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.300,0.98,1,0.00,0.00,0.00,0.02,1.66,1.99,0.00,0.97,2.15,2.00,0.00,0.02,0.00,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
