frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,0.60,0.33,0.16,1.50,0.00,0.94,0.55,1.50,0.00,0.00,0.00,0.00,0.39,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.033,0.98,1,0.00,0.00,0.59,0.11,0.24,1.30,0.01,1.01,0.62,1.62,0.00,0.07,0.00,0.01,0.34,0.21,0.07,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.067,0.98,1,0.01,0.00,0.61,0.00,0.28,1.24,0.01,1.06,0.64,1.68,0.00,0.15,0.00,0.03,0.31,0.32,0.07,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.100,0.98,1,0.01,0.00,0.66,0.00,0.33,1.36,0.01,1.11,0.66,1.68,0.02,0.23,0.00,0.02,0.37,0.39,0.16,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.133,0.98,1,0.04,0.00,0.70,0.00,0.33,1.31,0.00,1.19,0.67,1.65,0.02,0.20,0.00,0.02,0.43,0.43,0.18,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.167,0.98,1,0.05,0.00,0.75,0.00,0.30,1.28,0.00,1.25,0.70,1.68,0.02,0.15,0.00,0.01,0.47,0.36,0.22,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.200,0.98,1,0.04,0.00,0.76,0.03,0.24,1.19,0.00,1.25,0.72,1.66,0.00,0.13,0.01,0.03,0.39,0.28,0.15,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.233,0.98,1,0.04,0.10,0.75,0.03,0.24,1.30,0.00,1.29,0.75,1.77,0.00,0.15,0.01,0.03,0.22,0.12,0.05,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.267,0.98,1,0.06,0.10,0.68,0.07,0.27,1.42,0.00,1.31,0.78,1.84,0.00,0.17,0.01,0.04,0.11,0.05,0.01,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.300,0.98,1,0.06,0.10,0.70,0.05,0.29,1.53,0.00,1.35,0.77,1.98,0.00,0.20,0.00,0.04,0.06,0.03,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.333,0.98,1,0.06,0.01,0.70,0.09,0.28,1.55,0.00,1.34,0.78,2.00,0.04,0.26,0.00,0.05,0.04,0.06,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0,0.367,0.98,1,0.06,0.01,0.75,0.05,0.32,1.59,0.00,1.28,0.77,1.99,0.04,0.32,0.00,0.03,0.02,0.06,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0,0.400,0.98,1,0.06,0.01,0.73,0.04,0.33,1.59,0.00,1.22,0.77,1.95,0.07,0.32,0.00,0.01,0.00,0.09,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
