frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
20,0,0.633,0.98,1,0.03,0.01,0.88,0.07,0.38,0.78,0.00,1.13,0.64,1.81,0.00,0.09,0.00,0.03,0.18,0.01,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0,0.667,0.98,1,0.03,0.03,0.89,0.10,0.39,0.68,0.03,1.11,0.64,1.78,0.01,0.17,0.00,0.05,0.14,0.06,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,0,0.700,0.98,1,0.00,0.03,0.89,0.12,0.41,0.73,0.02,1.15,0.69,1.83,0.01,0.19,0.00,0.06,0.13,0.22,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,0,0.733,0.98,1,0.00,0.02,0.89,0.09,0.40,0.81,0.02,1.18,0.70,1.87,0.01,0.24,0.00,0.06,0.16,0.25,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,0,0.767,0.98,1,0.00,0.09,0.88,0.06,0.42,0.82,0.01,1.17,0.72,1.99,0.00,0.22,0.00,0.04,0.28,0.24,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,0,0.800,0.98,1,0.02,0.10,0.88,0.00,0.42,0.77,0.01,1.21,0.71,1.95,0.00,0.14,0.00,0.02,0.29,0.07,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,0,0.833,0.98,1,0.02,0.12,0.91,0.00,0.40,0.78,0.02,1.23,0.71,1.94,0.00,0.15,0.00,0.02,0.36,0.11,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,0,0.867,0.98,1,0.05,0.16,0.95,0.00,0.38,0.87,0.01,1.32,0.72,1.89,0.00,0.19,0.00,0.03,0.36,0.10,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,0,0.900,0.98,1,0.06,0.17,0.92,0.00,0.35,0.89,0.01,1.39,0.79,1.95,0.00,0.22,0.00,0.04,0.37,0.18,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,0,0.933,0.98,1,0.08,0.15,0.87,0.03,0.35,0.86,0.00,1.41,0.77,1.94,0.00,0.22,0.00,0.04,0.32,0.18,0.03,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,0,0.967,0.98,1,0.08,0.10,0.81,0.03,0.35,0.91,0.00,1.43,0.77,1.97,0.00,0.24,0.00,0.06,0.29,0.27,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,0,1.000,0.98,1,0.06,0.16,0.82,0.03,0.35,0.93,0.00,1.40,0.74,1.95,0.00,0.29,0.00,0.10,0.22,0.21,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0,1.033,0.98,1,0.04,0.16,0.80,0.00,0.31,1.03,0.00,1.37,0.77,1.92,0.00,0.22,0.00,0.10,0.17,0.14,0.13,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,0,1.067,0.98,1,0.00,0.08,0.74,0.00,0.25,0.92,0.00,1.33,0.76,1.88,0.00,0.09,0.00,0.11,0.09,0.03,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,0,1.100,0.98,1,0.05,0.09,0.68,0.00,0.17,0.86,0.00,1.29,0.74,1.90,0.00,0.06,0.00,0.09,0.07,0.04,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,0,1.133,0.98,1,0.05,0.09,0.67,0.01,0.15,0.89,0.00,1.33,0.72,1.91,0.05,0.06,0.00,0.07,0.03,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0,1.167,0.98,1,0.07,0.09,0.71,0.01,0.18,1.01,0.00,1.38,0.72,1.96,0.05,0.12,0.00,0.03,0.15,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,0,1.200,0.98,1,0.06,0.06,0.67,0.01,0.22,1.17,0.00,1.36,0.71,1.90,0.07,0.12,0.00,0.01,0.19,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,0,1.233,0.98,1,0.11,0.11,0.67,0.00,0.25,1.28,0.00,1.30,0.68,1.89,0.10,0.15,0.00,0.00,0.24,0.00,0.12,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0,1.267,0.98,1,0.10,0.12,0.63,0.00,0.26,1.48,0.00,1.22,0.66,1.82,0.13,0.11,0.00,0.00,0.11,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,0,1.300,0.98,1,0.10,0.08,0.67,0.00,0.29,1.56,0.00,1.21,0.65,1.75,0.15,0.06,0.00,0.00,0.07,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,0,1.333,0.98,1,0.14,0.03,0.67,0.00,0.33,1.76,0.00,1.24,0.67,1.72,0.07,0.02,0.00,0.00,0.07,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,0,1.367,0.98,1,0.24,0.01,0.72,0.00,0.37,1.81,0.00,1.19,0.66,1.74,0.04,0.00,0.00,0.00,0.14,0.01,0.13,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,0,1.400,0.98,1,0.28,0.10,0.71,0.00,0.33,1.83,0.00,1.15,0.68,1.84,0.00,0.00,0.00,0.00,0.20,0.04,0.18,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,0,1.433,0.98,1,0.23,0.10,0.72,0.00,0.39,1.63,0.00,1.06,0.67,1.88,0.00,0.00,0.00,0.00,0.23,0.04,0.18,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,0,1.467,0.98,1,0.19,0.14,0.71,0.00,0.40,1.69,0.00,1.08,0.68,1.84,0.00,0.00,0.00,0.00,0.22,0.03,0.28,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,0,1.500,0.98,1,0.16,0.04,0.73,0.00,0.47,1.87,0.00,1.06,0.66,1.76,0.00,0.05,0.00,0.00,0.14,0.00,0.32,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,0,1.533,0.98,1,0.15,0.04,0.68,0.03,0.44,1.98,0.00,1.04,0.65,1.76,0.00,0.05,0.00,0.00,0.07,0.08,0.38,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,0,1.567,0.98,1,0.10,0.00,0.75,0.03,0.47,1.89,0.05,1.05,0.67,1.81,0.00,0.15,0.00,0.00,0.01,0.09,0.23,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,0,1.600,0.98,1,0.09,0.00,0.77,0.03,0.48,1.94,0.11,1.01,0.66,1.90,0.00,0.17,0.00,0.00,0.07,0.15,0.18,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,0,1.633,0.98,1,0.17,0.00,0.90,0.00,0.56,2.17,0.16,1.07,0.74,1.93,0.00,0.17,0.00,0.00,0.20,0.11,0.24,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,0,1.667,0.98,1,0.17,0.00,0.87,0.01,0.57,2.35,0.12,1.07,0.72,1.93,0.02,0.10,0.00,0.00,0.29,0.16,0.30,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,0,1.700,0.98,1,0.12,0.00,0.93,0.01,0.59,2.27,0.06,1.12,0.81,1.89,0.02,0.03,0.00,0.00,0.31,0.10,0.22,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,0,1.733,0.98,1,0.03,0.00,0.92,0.01,0.55,2.12,0.06,1.12,0.77,1.80,0.02,0.03,0.01,0.00,0.18,0.06,0.12,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
