code	time	valence	arousal	humanlike
20	5600	1	3	1
40	26058	5	5	5
40	39701	5	5	5
10	50513	3	5	7
20	70537	7	8	7
30	94608	5	5	6
10	107152	7	8	8
30	124893	5	5	5
30	136305	5	5	5
20	149965	7	7	8
30	162308	5	5	6
10	182382	6	7	7
40	201589	5	5	5
20	214317	7	8	7
30	225012	5	5	5
20	235440	7	7	8
10	245368	5	5	6
30	258512	5	5	5
20	270606	7	7	8
40	284133	8	5	8
10	304939	6	6	7
40	316900	5	5	5
10	327994	2	4	8
40	346736	5	5	5
30	357231	3	4	1
10	377371	2	4	8
20	393513	7	6	7
40	404841	5	5	5
