code	time	valence	arousal	humanlike
10	5595	4	4	4
40	19440	6	5	6
10	33233	4	4	4
20	45511	2	8	4
40	60087	6	5	5
10	73747	3	7	5
40	88556	6	6	5
40	102333	6	6	5
20	115759	2	8	4
40	128803	6	4	5
30	147078	6	7	7
10	162470	3	8	4
30	176830	7	7	7
20	188441	4	6	4
30	201584	6	4	5
40	214428	6	6	5
20	228738	4	8	4
30	243931	6	5	4
20	258424	4	8	4
30	274083	6	4	6
20	286810	3	8	4
40	302086	6	5	5
20	315646	3	8	4
30	329139	6	4	5
10	343167	4	6	5
10	356726	4	5	4
30	370487	6	4	4
20	381214	3	8	4
40	395108	6	6	5
30	408951	7	7	6
10	421895	3	7	4
10	436039	4	7	5
