code	time	valence	arousal	humanlike
10	5598	3	6	7
10	20392	3	7	7
40	36284	4	4	4
40	53693	3	5	4
20	72567	3	8	7
30	91774	7	7	6
10	106517	4	6	7
20	120144	3	7	7
40	132238	6	6	4
20	147414	3	7	7
30	159308	6	6	6
30	172901	7	7	5
20	187377	3	8	7
40	200938	6	6	4
10	212999	4	5	6
10	229574	3	7	7
30	241201	4	4	4
20	256111	3	8	7
40	268055	4	4	4
20	283948	3	7	7
30	296824	4	4	4
30	309651	5	5	4
20	321529	3	7	7
30	334823	5	6	5
40	346901	5	5	4
10	363209	4	6	7
10	377586	3	7	7
40	390279	4	6	7
