code	time	valence	arousal	humanlike
10	5603	6	7	7
30	19081	3	2	2
20	36439	8	8	8
40	49050	3	3	1
30	63310	3	3	2
20	78686	8	8	7
30	92329	3	6	3
20	108171	9	9	9
30	121099	3	6	3
20	133943	8	8	8
20	145287	6	7	8
40	154649	3	5	1
40	163728	6	7	7
10	173656	6	7	6
20	186967	7	8	6
30	198094	6	7	2
40	208190	3	9	1
10	221034	6	6	7
20	230379	7	6	6
30	244106	3	6	4
10	258848	3	6	5
40	273824	2	7	2
40	284919	6	7	5
10	305376	6	6	4
10	319253	6	5	6
40	333812	5	6	3
10	348222	5	7	6
30	364714	3	4	7
