code	time	valence	arousal	humanlike
40	5608	4	6	6
10	19886	3	8	7
40	32396	9	6	6
10	50821	4	6	7
10	67730	4	6	5
30	82222	6	3	2
40	98331	6	2	3
20	116256	4	6	5
40	129483	7	4	6
10	142276	2	7	6
30	154254	8	7	6
20	165482	3	7	4
20	179042	3	7	4
30	192868	8	3	6
20	208361	4	6	5
10	222721	3	8	7
30	235115	8	4	5
40	249059	6	4	4
20	266666	3	7	6
40	286324	6	4	3
30	307197	8	4	6
10	319758	2	7	4
10	332568	3	7	6
40	349093	6	3	7
20	362637	3	8	6
30	375164	8	3	6
40	389240	6	3	6
20	405898	2	8	6
10	419775	2	6	7
30	434285	8	7	8
20	453027	2	8	6
30	466787	9	3	7
