code	time	valence	arousal	humanlike
40	5595	5	5	4
30	19788	6	6	4
20	33198	3	8	6
30	49024	5	6	4
30	62252	5	5	4
10	77028	4	8	4
40	91354	6	5	5
10	107096	4	5	6
20	122672	3	8	4
30	137681	5	7	4
10	152641	4	7	4
40	167850	5	5	4
10	184792	3	8	4
40	198885	6	5	4
40	212712	6	6	6
10	225489	3	7	4
40	240914	6	7	5
20	255158	3	8	4
40	270467	6	6	5
10	285094	4	7	5
30	298736	5	7	5
20	311430	3	8	4
20	324657	3	8	4
30	338484	5	8	5
10	353294	3	7	5
30	368719	5	7	5
20	383712	3	8	3
20	399471	3	8	3
