code	time	valence	arousal	humanlike
40	5609	2	4	3
30	16505	2	4	3
20	26900	7	7	7
10	35096	7	4	7
30	47191	3	5	3
10	57685	7	6	7
20	69979	7	7	7
40	77692	2	4	2
10	87671	7	7	7
40	95783	2	4	2
20	106012	7	7	7
10	114407	7	6	7
30	123070	2	6	3
40	133531	2	4	2
20	141344	7	7	7
10	148874	7	6	7
40	156820	2	3	2
20	166800	7	7	7
30	175545	3	4	3
40	186940	2	4	2
10	196485	7	6	7
40	205464	3	4	3
10	215275	7	6	7
30	223421	3	6	4
20	236383	7	6	7
20	244411	7	7	7
30	253657	3	4	3
30	263219	2	4	3
10	273047	7	6	7
40	282144	2	4	2
20	292738	7	6	7
30	302867	4	4	4
