code	time	valence	arousal	humanlike
20	5596	-2	-2	-2
30	20340	-2	-2	-2
40	34033	-2	-2	-2
20	47827	-2	-2	-2
30	61204	-2	-2	-2
30	84775	-2	-2	-2
10	99485	-2	-2	-2
10	114644	-2	-2	-2
40	132869	-2	-2	-2
40	148045	-2	-2	-2
10	165486	-2	-2	-2
20	178330	-2	-2	-2
30	199603	-2	-2	-2
10	213046	-2	-2	-2
30	228772	-2	-2	-2
10	246113	-2	-2	-2
40	259607	-2	-2	-2
20	274234	-2	-2	-2
40	287260	-2	-2	-2
10	307385	-2	-2	-2
30	325259	-2	-2	-2
20	339985	-2	-2	-2
10	359009	-2	-2	-2
30	374751	-2	-2	-2
10	392161	-2	-2	-2
20	405770	-2	-2	-2
40	424394	-2	-2	-2
20	437854	-2	-2	-2
40	453747	-2	-2	-2
30	475103	-2	-2	-2
20	491629	-2	-2	-2
40	505973	-2	-2	-2
