code	time	valence	arousal	humanlike
20	5597	3	7	7
10	17908	3	6	6
40	31668	4	3	3
20	43463	3	7	8
40	55574	4	4	3
10	67567	3	6	6
30	80945	4	4	3
20	91639	2	7	7
30	104616	6	5	7
20	117860	4	6	7
40	130887	4	3	3
10	141265	3	7	7
30	152310	4	4	3
40	162471	3	4	3
10	173466	4	6	7
40	184261	4	3	4
20	196172	4	7	7
10	208633	3	6	7
40	221293	4	4	3
30	232338	4	6	4
20	245048	3	7	7
30	258742	7	3	7
40	273301	4	4	3
10	282930	4	4	6
30	298240	4	4	3
20	310300	3	7	7
30	325276	7	6	7
10	337753	4	6	7
10	352296	4	7	5
30	365740	7	4	7
20	379800	4	6	7
40	395493	3	3	3
