code	time	valence	arousal	humanlike
30	5601	4	7	5
40	23044	6	6	4
10	35038	3	8	4
40	48232	6	7	3
30	65474	6	7	3
20	80383	3	8	3
30	96242	6	7	4
20	108653	3	8	4
10	119630	4	7	4
30	132208	5	6	5
40	146968	6	7	5
10	159444	3	8	4
20	173505	3	8	4
40	189397	6	6	6
10	201024	6	6	6
20	215517	3	7	5
40	232592	6	7	6
20	246636	3	8	4
10	263594	4	7	4
40	277788	6	7	6
30	290764	6	7	6
20	307073	2	8	4
10	320034	4	8	4
40	334809	6	7	5
10	350853	4	8	5
30	364012	5	7	4
10	380388	3	8	4
30	392581	7	7	6
40	404959	6	7	5
20	417353	3	8	4
20	432846	3	8	4
30	449705	6	7	6
