code	time	valence	arousal	humanlike
30	5605	5	6	3
10	17501	3	7	7
20	27962	4	7	7
40	39424	4	6	5
40	52667	5	6	4
10	65560	3	7	7
30	75439	7	7	6
10	87700	4	6	7
30	97229	7	7	5
20	107857	3	7	7
40	118552	6	6	4
40	130063	5	6	4
10	142390	3	7	7
40	151402	4	6	4
10	160764	3	7	7
20	171992	3	7	7
40	181455	6	6	4
10	192133	4	6	7
30	202777	6	6	3
20	214872	3	7	7
30	226366	7	7	6
40	242392	4	6	6
20	252353	3	7	6
40	262832	6	6	3
20	275077	3	7	7
30	287686	6	6	4
20	297882	4	6	6
30	307410	7	7	7
10	317955	4	7	7
20	330799	4	6	6
30	341827	7	7	7
10	354372	4	6	6
