code	time	valence	arousal	humanlike
40	5598	4	6	3
20	20725	2	8	2
40	34551	5	5	4
10	48411	2	7	2
30	64520	4	6	3
40	81529	5	6	4
10	97337	3	7	3
30	113746	5	6	5
10	127840	3	6	3
30	141250	7	7	8
20	154010	2	8	3
20	169152	3	7	3
30	180647	8	8	8
10	192741	5	6	5
20	205169	3	7	3
30	220778	4	6	5
40	234504	6	6	6
20	250230	3	7	3
40	263173	5	5	2
30	277384	5	6	4
20	291460	4	6	4
40	304020	2	6	2
10	316964	3	7	3
10	330791	5	6	5
30	345001	8	7	8
20	358727	3	6	3
10	371888	3	6	3
40	388496	4	6	2
