code	time	valence	arousal	humanlike
40	5601	9	6	9
40	21428	6	4	4
10	34039	7	6	8
20	45233	7	6	8
40	58394	5	5	5
20	68688	7	8	8
10	79300	7	8	8
40	88912	5	5	5
10	97574	7	8	8
30	106504	4	5	5
40	118931	5	5	5
10	128026	2	3	8
10	145035	7	8	8
30	153414	4	5	5
20	163159	7	8	8
10	171888	2	5	8
40	187081	5	5	5
30	197593	7	5	5
20	208521	7	8	8
10	219199	7	8	8
40	230410	5	5	4
30	243504	9	5	4
20	260712	7	8	8
10	269824	2	3	8
30	284768	9	5	4
30	294828	9	5	4
20	305974	7	8	8
40	314619	9	5	4
20	324548	7	8	8
30	333744	9	6	5
30	346171	4	5	5
20	362514	8	7	8
