code	time	valence	arousal	humanlike
30	5604	6	5	6
20	16683	2	8	7
30	27011	8	7	8
10	37257	3	7	7
40	49235	6	5	6
30	57996	6	5	6
20	69124	3	7	7
20	79552	2	8	7
40	90131	6	5	6
10	100576	2	7	8
30	110671	8	8	8
20	121199	2	7	7
20	132644	3	8	7
40	141822	6	5	5
40	153150	6	5	6
10	161629	3	7	6
40	173724	6	6	7
10	185052	3	4	6
40	198428	6	5	6
20	208424	3	7	7
10	218102	2	7	7
40	231663	7	5	7
10	241407	3	7	6
20	251186	2	8	8
30	263664	6	5	6
30	272109	8	8	9
10	287486	2	3	7
20	297846	3	7	7
30	308975	8	7	8
10	318554	2	4	7
30	331581	7	5	7
40	342259	8	5	8
