code	time	valence	arousal	humanlike
40	5596	2	6	2
20	22872	3	9	3
30	41280	1	5	1
10	56039	5	8	7
20	82293	9	9	9
30	109963	7	7	4
10	131153	3	7	2
40	148978	8	4	6
40	169768	9	8	9
20	195438	1	9	2
30	208782	8	8	1
40	224008	5	5	4
20	239966	1	8	2
30	252011	7	6	3
20	271368	1	9	2
20	284145	1	9	6
30	295856	8	7	8
10	312949	2	8	8
10	326441	2	8	3
30	344650	8	6	9
20	361391	1	9	3
10	374585	1	8	2
30	388928	6	3	6
40	407235	4	3	4
10	427676	1	8	3
10	445434	3	6	8
40	472371	8	2	7
40	489379	4	2	6
