code	time	valence	arousal	humanlike
20	5593	4	6	3
20	20287	4	7	3
40	32031	6	4	4
20	45192	4	6	5
30	59352	6	5	4
30	75511	6	2	6
10	91320	4	6	6
30	104030	6	5	6
40	121288	7	3	6
10	133999	4	6	6
20	146709	3	6	3
40	159503	4	6	4
30	172264	7	3	7
10	184524	4	4	4
40	196102	5	3	4
10	212094	4	6	6
30	223223	6	6	4
40	237183	4	4	3
10	248543	4	6	5
30	266585	6	3	6
20	280062	3	7	2
40	293405	4	4	3
30	303783	6	6	4
10	314362	4	6	6
20	329189	3	7	2
30	342281	6	6	4
20	353493	4	7	3
40	366120	4	5	4
10	382095	4	6	4
40	395090	6	5	5
10	413281	4	3	6
20	428341	4	7	3
