code	time	valence	arousal	humanlike
10	5600	1	5	7
30	19778	8	7	8
10	30822	1	6	7
20	47331	1	7	7
40	62991	2	5	7
30	76017	6	6	8
20	87511	1	7	7
10	100689	1	7	8
30	112566	6	7	7
30	124377	6	7	7
20	138204	1	7	6
40	150764	2	5	6
30	163908	7	4	8
10	175852	1	7	8
40	188546	1	4	8
10	204821	1	4	9
30	217382	7	4	8
10	232342	1	7	7
40	248683	2	4	6
40	263443	2	3	6
20	278019	1	7	7
10	289897	1	3	8
30	301891	7	2	8
40	313102	1	5	8
20	326763	1	8	7
40	337757	2	4	7
20	350651	1	7	6
10	364410	1	7	7
30	376288	7	8	9
20	388616	2	8	7
40	402193	1	4	8
20	414820	1	7	8
