code	time	valence	arousal	humanlike
30	5600	-2	-2	-2
10	16895	-2	-2	-2
20	27540	-2	-2	-2
40	38185	-2	-2	-2
10	50796	-2	-2	-2
10	60824	-2	-2	-2
40	71852	-2	-2	-2
10	83296	-2	-2	-2
30	92659	-2	-2	-2
20	103820	-2	-2	-2
40	114931	-2	-2	-2
10	124643	-2	-2	-2
30	135804	-2	-2	-2
20	146782	-2	-2	-2
20	155728	-2	-2	-2
40	165606	-2	-2	-2
10	177434	-2	-2	-2
40	189862	-2	-2	-2
40	200040	-2	-2	-2
20	212684	-2	-2	-2
30	223412	-2	-2	-2
30	235256	-2	-2	-2
10	245718	-2	-2	-2
40	255313	-2	-2	-2
10	268807	-2	-2	-2
30	279118	-2	-2	-2
30	291179	-2	-2	-2
20	302606	-2	-2	-2
40	314984	-2	-2	-2
20	326279	-2	-2	-2
20	337790	-2	-2	-2
30	350235	-2	-2	-2
