code	time
20	5598
40	16613
30	27391
20	38669
30	50947
20	61724
30	73002
40	83530
10	94059
10	104837
40	116115
30	126892
20	138421
30	148949
10	159477
40	170005
20	181033
40	193061
10	204089
20	216117
40	227394
30	238922
10	249950
10	260978
40	274006
10	284783
30	296561
20	307089
