code	time	valence	arousal	humanlike
10	5596	2	9	7
40	19074	3	2	2
10	39031	3	6	8
10	52624	1	9	7
30	68400	9	2	9
20	81343	1	9	2
20	94821	1	8	7
40	112978	4	5	5
10	134784	3	6	7
30	148194	7	4	2
40	165253	4	2	3
20	182461	1	9	4
30	198054	7	6	2
30	220293	8	5	3
20	234886	1	9	2
10	245297	3	6	8
30	266370	9	7	5
40	284445	7	4	6
20	296956	1	8	4
40	312815	4	1	8
10	330523	1	8	7
30	345482	9	4	9
30	363007	9	8	4
20	381132	1	9	6
30	396092	6	5	7
20	413382	1	9	7
40	428459	4	5	6
10	446266	1	8	8
20	456795	1	8	4
40	469172	4	5	4
40	486781	6	3	6
10	504522	1	8	5
