code	time	valence	arousal	humanlike
10	5609	3	7	4
40	18787	5	3	7
20	46923	1	9	5
20	60533	2	8	8
40	73794	6	1	4
10	87687	3	6	9
30	101147	6	4	4
30	114690	6	6	3
20	130116	1	9	4
40	143393	4	1	2
10	162334	3	7	6
30	188771	4	3	3
20	204364	1	9	1
30	215591	3	3	5
30	232116	6	7	4
10	245876	3	7	4
40	270781	6	4	7
10	284359	3	4	4
40	305181	7	3	5
40	320424	4	2	2
10	333384	4	7	9
40	346678	3	4	7
20	365852	3	7	4
30	392555	3	3	4
10	409298	2	8	7
20	423440	1	9	2
40	435269	4	4	6
20	453726	2	9	6
20	468286	1	4	4
30	485744	3	6	5
30	515730	4	1	6
10	529190	3	7	9
