code	time	valence	arousal	humanlike
30	5599	8	8	7
20	16762	4	7	6
40	27140	6	4	5
30	39851	7	7	4
10	52761	3	3	4
40	65105	5	6	5
40	77366	3	3	7
10	89493	4	3	3
20	101288	4	3	3
40	115231	7	6	5
30	127475	8	8	6
10	137120	3	9	6
10	147248	3	2	6
40	157777	4	3	7
40	170321	6	4	3
10	182082	4	7	5
30	192743	8	7	6
10	205138	3	7	4
20	216365	3	7	5
30	227110	6	6	5
20	238155	3	8	5
20	248716	4	8	5
40	260011	6	3	3
10	272121	4	6	4
20	283333	7	7	6
30	293477	6	3	5
20	305056	4	8	6
30	317000	6	3	3
