code	time	valence	arousal	humanlike
20	5597	8	8	8
40	17092	6	4	3
40	32202	3	4	4
10	46445	6	7	6
20	62787	8	8	8
30	77063	7	6	4
10	91890	6	8	7
20	110963	8	8	8
30	125289	7	6	6
30	138566	7	6	7
20	154376	8	8	8
40	169468	6	6	3
40	182929	7	6	3
10	197838	7	8	8
40	209365	3	6	5
40	225774	7	6	8
20	238801	7	7	7
30	252745	6	3	7
30	266355	6	7	4
10	282647	6	7	7
30	297639	7	7	7
20	311916	7	7	7
20	326442	8	8	8
40	342118	3	6	4
10	358144	4	6	6
20	372586	8	8	8
30	388829	6	5	4
10	405020	8	9	9
40	416365	6	7	2
10	431858	7	4	4
10	447601	7	6	8
30	462444	6	4	4
