code	time	valence	arousal	humanlike
40	5597	3	6	1
30	19491	5	5	4
10	30786	3	6	2
40	43496	4	2	3
20	59089	2	5	2
40	70300	2	6	1
20	83277	2	6	2
30	95537	3	5	1
20	109697	4	3	2
10	120958	3	5	3
30	133986	4	2	4
40	146030	4	2	3
10	157741	2	4	2
10	169868	2	3	2
30	181762	4	4	2
10	192874	3	5	2
40	204518	4	2	2
10	215530	2	3	2
30	226724	4	2	2
20	240951	2	3	1
30	252278	5	4	2
10	265472	3	3	1
40	276600	4	2	2
20	287678	3	5	1
30	301255	4	4	1
20	312466	3	4	2
10	325276	3	5	3
40	336204	2	5	1
20	351180	3	6	2
40	365174	3	5	1
30	378351	5	5	4
20	392761	3	5	3
