code	time	valence	arousal	humanlike
10	5599	3	3	4
40	17711	4	3	5
10	28039	3	7	5
20	39168	4	7	6
40	52678	7	6	6
10	62639	3	7	5
10	74834	3	7	6
40	86777	6	6	5
20	98139	3	7	6
20	109183	4	8	5
30	120778	6	4	4
20	133655	6	6	5
40	146499	4	6	5
30	156660	6	7	6
10	166855	3	2	6
20	177667	3	8	4
30	189644	4	6	4
30	204654	5	4	6
20	217114	3	8	6
30	229842	6	5	4
10	242069	3	7	7
30	253147	6	6	4
20	264641	4	7	6
40	275536	7	4	5
10	289031	6	7	5
40	300574	6	4	5
40	315234	3	3	6
20	324129	3	8	4
30	334674	4	4	7
10	347035	4	4	3
40	362495	6	4	7
30	375605	7	7	6
