code	time	valence	arousal	humanlike
40	5598	4	7	6
30	23907	2	9	8
10	38017	7	8	8
10	52609	5	9	9
30	66803	7	5	3
20	79930	4	9	9
20	91291	4	7	6
40	104484	9	4	1
30	119977	2	6	8
10	136186	6	7	7
40	146997	4	7	7
20	162223	5	8	7
40	176299	8	3	4
10	205219	5	8	6
20	223211	5	9	7
30	234888	9	3	7
20	247765	6	9	8
40	264740	7	2	7
20	276867	8	3	7
30	288862	5	2	7
40	306120	6	1	5
20	319863	4	8	7
10	332923	6	6	5
30	346317	7	3	7
10	363426	5	8	8
40	375486	8	2	9
30	389163	9	1	9
10	406055	4	8	6
