code	time	valence	arousal	humanlike
20	5595	3	4	4
40	21971	4	5	4
10	35881	6	5	6
10	51940	7	7	7
40	66584	4	3	5
30	82426	4	5	5
10	96202	7	7	8
30	110362	4	5	4
40	127321	4	3	4
10	145012	7	7	6
40	157706	3	4	3
20	169051	3	4	3
30	182327	2	4	3
40	194322	2	4	3
20	205966	3	4	3
20	218626	3	4	3
30	231137	5	4	4
10	243648	7	6	7
20	255275	4	5	4
30	273167	3	2	2
40	284561	2	3	2
10	294889	7	6	7
30	305967	4	3	4
20	317212	6	5	6
10	328990	3	5	5
40	342650	3	2	3
20	358126	3	5	5
30	370603	4	6	5
