code	time	valence	arousal	humanlike
20	5594	4	8	8
30	19788	6	2	5
20	35498	6	8	7
10	46359	5	6	6
30	60453	7	3	7
10	72680	7	4	8
40	90837	6	2	7
30	108345	4	1	4
20	120006	6	8	7
40	132634	5	3	8
20	148210	4	8	7
40	162985	9	1	9
30	176063	8	3	8
10	188956	5	9	7
40	201050	8	2	7
10	214727	7	8	6
10	227438	4	7	7
40	242664	5	2	6
40	255057	7	2	8
10	268202	2	9	7
10	286143	2	9	9
30	300436	9	1	9
10	313329	3	8	8
20	327872	5	8	6
40	342832	7	4	4
30	355942	6	6	6
20	368919	4	7	6
40	381513	8	3	7
20	396189	3	8	8
20	408134	4	8	6
30	425026	8	3	9
30	438836	7	4	8
