code	time	valence	arousal	humanlike
20	5594	8	8	8
10	21821	6	4	8
40	36714	6	6	2
30	56521	8	9	5
20	72147	8	8	8
30	85374	3	7	3
20	105980	8	8	8
10	117974	6	8	8
40	133134	3	6	2
40	151442	4	7	6
10	167833	3	8	8
40	187824	6	6	2
20	200134	8	8	8
40	213994	6	6	2
10	234468	4	8	8
40	250277	6	6	2
20	260971	8	8	8
30	273982	8	4	3
30	289924	8	9	8
10	302436	6	6	9
20	316961	8	7	7
30	331321	8	9	9
10	343431	3	8	8
40	358025	6	3	7
20	371485	8	8	8
30	384079	4	7	3
30	402553	3	6	4
10	416813	3	4	8
