code	time	valence	arousal	humanlike
20	5596	2	7	7
30	19424	4	3	3
20	35216	3	4	8
30	50026	5	2	4
30	71116	5	2	5
10	86109	3	6	6
40	100535	4	3	3
30	115295	5	2	4
10	131737	2	3	7
10	145363	3	4	7
40	158740	4	1	3
10	173066	4	2	8
20	186376	3	6	8
40	199604	5	2	6
30	212464	5	2	5
20	225657	3	5	7
30	240417	4	2	4
40	253278	4	2	3
10	267687	3	5	7
10	282847	2	4	8
40	298122	4	2	3
10	309433	4	3	8
20	321044	3	3	6
30	334888	4	2	4
20	351431	3	5	8
40	365290	5	2	6
40	387563	5	1	6
20	405704	3	6	7
