code	time	valence	arousal	humanlike
10	5606	-2	-2	-2
30	22615	-2	-2	-2
10	38674	-2	-2	-2
20	53001	-2	-2	-2
40	69793	-2	-2	-2
30	91332	-2	-2	-2
20	108774	-2	-2	-2
10	123283	-2	-2	-2
40	141192	-2	-2	-2
20	162548	-2	-2	-2
40	183104	-2	-2	-2
40	199796	-2	-2	-2
10	212240	-2	-2	-2
10	227299	-2	-2	-2
30	243608	-2	-2	-2
40	258734	-2	-2	-2
10	270712	-2	-2	-2
10	290969	-2	-2	-2
40	305728	-2	-2	-2
40	323670	-2	-2	-2
20	339961	-2	-2	-2
30	353655	-2	-2	-2
30	367581	-2	-2	-2
20	381925	-2	-2	-2
30	395685	-2	-2	-2
20	418474	-2	-2	-2
30	435599	-2	-2	-2
20	450891	-2	-2	-2
