code	time	valence	arousal	humanlike
20	5604	5	4	4
40	18566	3	6	2
40	30959	4	5	3
20	43287	4	6	3
10	56031	5	6	7
40	68558	3	4	2
20	81169	4	5	4
40	92229	3	4	2
30	103924	4	4	4
10	117018	5	4	6
20	128363	5	4	4
30	141506	6	5	5
40	155199	4	4	4
10	167343	5	6	4
10	181136	5	6	8
30	192448	3	8	7
20	205608	5	6	4
40	218736	4	6	5
10	231879	5	6	8
30	244273	3	8	6
30	258033	6	6	5
20	270060	4	5	5
30	281888	2	7	6
10	293632	5	6	7
30	307659	5	4	3
20	319186	4	6	4
30	331797	2	7	8
40	342641	4	5	5
10	355352	4	4	4
40	369446	5	4	2
10	382789	4	5	4
20	396200	3	5	4
