code	time	valence	arousal	humanlike
20	5603	3	5	7
40	20481	3	4	4
10	33741	3	3	7
30	47818	5	2	6
30	65443	5	1	6
10	77553	3	6	7
20	91430	3	6	8
40	108455	3	4	7
40	126713	2	2	6
10	144837	4	6	8
40	156415	5	3	6
10	172274	3	4	7
30	184018	5	2	7
20	196379	3	6	7
10	207041	3	2	8
40	218535	4	2	6
30	232662	3	3	4
20	243807	3	5	6
20	257883	3	3	7
30	272842	5	2	4
10	284820	3	3	7
30	301028	5	2	3
10	314788	4	3	7
40	325333	4	3	3
30	338161	5	1	4
20	356518	3	6	7
40	368296	4	1	3
30	380123	5	1	4
10	392234	3	3	6
20	405745	3	5	6
40	422387	5	2	3
20	443644	3	6	6
