code	time	valence	arousal	humanlike
40	5606	4	7	5
10	18517	1	3	1
30	27779	8	8	9
10	38524	5	4	7
30	50152	5	5	5
40	60464	7	8	8
10	71258	2	4	1
40	82936	5	5	5
30	91815	8	7	8
20	101094	1	6	6
40	113838	5	5	5
20	123483	1	6	3
20	134228	2	7	3
30	145639	5	6	5
20	155767	2	6	5
10	164746	1	6	5
40	176557	5	6	7
10	187835	1	5	3
20	199130	1	4	1
30	209892	4	6	6
30	222485	7	6	8
20	233163	1	6	6
40	244524	7	8	7
10	256252	3	6	5
10	268580	3	5	2
30	281306	7	8	8
20	296966	7	6	6
40	311175	7	8	7
40	324969	5	5	5
20	335647	1	5	2
10	347891	4	6	7
30	362468	9	8	8
