code	time	valence	arousal	humanlike
10	5597	6	3	6
20	19825	4	7	2
30	33268	6	5	4
20	47761	4	7	2
30	61938	7	3	6
40	77281	7	4	6
20	90907	4	7	2
40	103934	7	2	6
30	119593	5	4	5
10	134670	6	7	5
10	149829	5	7	5
30	164122	7	6	6
20	180880	4	7	3
40	195040	5	3	4
10	211316	3	3	6
30	226425	7	2	6
10	238885	5	6	7
30	253445	6	2	6
20	264389	4	7	5
10	278150	4	3	5
40	292959	3	3	5
20	304503	4	7	4
40	323328	8	6	6
40	337671	4	5	3
10	352298	3	4	5
40	365657	5	4	4
20	382816	4	7	5
30	400157	6	6	4
