code	time
20	5606
30	16621
30	27399
20	38677
10	50955
30	61732
30	73011
20	83539
10	94067
40	104845
40	116123
10	126901
10	138429
40	148957
10	159485
20	170013
40	181041
30	193069
10	204097
20	216125
40	227402
40	238930
10	249958
20	260986
30	274014
40	284791
20	296569
30	307097
