code	time	valence	arousal	humanlike
10	5595	4	4	3
40	18923	4	3	2
20	31484	1	8	2
30	46809	4	2	2
10	62186	2	8	1
10	77528	2	8	1
40	90988	2	3	1
20	102182	2	7	2
30	115760	5	6	5
20	133001	1	6	2
40	145462	4	5	4
30	157039	6	6	5
20	169383	2	6	3
20	182494	2	6	2
30	194954	5	5	3
30	205682	5	5	4
10	216377	4	5	2
40	227855	3	4	2
10	239249	2	6	3
40	255825	4	5	3
30	268085	3	4	1
10	280296	2	5	3
10	292590	4	4	2
30	306150	5	5	5
20	319561	3	6	2
20	330538	2	6	1
40	342216	4	3	1
40	353860	4	3	2
