code	time	valence	arousal	humanlike
40	5624	3	2	3
40	20868	4	2	2
10	35760	3	2	2
40	49937	4	3	4
40	65580	3	4	3
20	79972	5	7	7
10	93882	7	7	6
40	109907	5	3	3
30	122335	6	3	4
10	138044	5	7	7
40	152021	4	3	3
30	169629	3	3	4
10	186088	4	6	6
20	199731	6	7	7
40	214057	3	3	4
10	226068	4	6	3
10	243077	4	3	6
30	257570	5	4	4
10	275211	4	3	7
20	292603	3	3	4
30	310278	5	4	6
20	325304	4	7	6
20	341879	3	7	7
30	355039	7	8	7
30	371315	4	5	3
20	385574	4	6	6
30	401500	7	8	8
20	413794	4	6	6
40	428737	4	3	3
20	443030	3	4	5
30	459306	4	2	3
10	473732	3	2	2
