code	time	valence	arousal	humanlike
40	5606	4	4	3
20	22099	2	6	3
20	34959	1	7	4
30	51435	7	3	6
20	67844	2	6	4
20	81753	3	5	4
30	96013	6	3	6
20	110939	2	6	5
30	124582	8	3	6
40	137509	5	4	4
20	152836	3	7	4
40	165379	5	6	4
10	181072	3	6	4
20	194165	2	7	3
30	206593	7	3	6
10	219953	3	6	4
10	233130	3	6	4
40	248906	5	4	5
10	263765	3	6	4
40	278125	4	4	6
20	292435	2	7	6
40	305712	6	4	6
10	319388	4	3	7
40	334131	4	4	6
30	349574	7	4	7
10	362450	2	7	4
30	377510	6	3	6
40	391070	6	2	6
10	405213	3	7	4
10	419107	3	6	4
30	432717	7	2	6
30	448243	7	2	6
