code	time	valence	arousal	humanlike
40	5599	3	3	4
10	20809	5	6	4
10	33887	5	6	4
30	44915	6	5	6
30	59741	5	5	4
20	71768	4	6	3
30	84146	5	7	3
10	97656	3	4	6
40	111866	5	3	2
20	123527	4	5	4
40	134804	3	3	3
10	144799	5	6	7
40	156727	5	2	3
20	170004	3	6	5
40	182498	4	3	3
20	193526	5	5	4
30	206486	3	7	4
10	219980	4	6	8
30	235006	5	6	6
20	249866	3	4	3
20	261260	3	5	4
40	272287	6	6	3
10	285481	4	5	3
30	297259	1	8	5
10	313602	4	4	4
40	325262	3	3	2
20	337490	4	5	4
30	348534	2	8	5
