code	time	valence	arousal	humanlike
40	5605	5	5	3
30	20748	6	7	4
10	34758	3	8	8
10	48402	3	8	8
30	61762	8	8	5
40	77055	5	4	5
10	92230	3	8	8
30	105124	7	7	6
20	119651	3	8	7
40	134643	9	8	7
20	148636	2	8	7
20	161180	3	7	4
30	173824	8	8	5
30	186434	5	7	6
20	201344	3	8	7
40	217020	5	6	5
20	233262	4	7	6
10	248072	4	7	8
30	261981	8	8	6
40	274709	9	8	7
10	287818	4	7	6
10	303128	5	7	6
30	319553	5	5	3
10	331148	2	6	4
40	350455	5	6	5
20	362849	3	8	6
40	375360	5	4	4
20	389403	4	7	6
