code	time	valence	arousal	humanlike
10	5593	5	7	5
10	19920	4	3	4
30	31931	7	5	6
20	49173	3	7	4
40	62950	5	7	5
40	85755	5	3	3
10	98915	5	7	5
10	112109	4	2	6
40	123137	3	3	3
20	133665	5	7	5
40	147792	6	3	5
10	158986	5	5	5
40	182392	5	3	4
30	198300	5	4	2
20	209511	5	7	5
30	218774	6	5	8
20	237431	5	7	5
30	247577	5	4	5
40	263619	5	3	2
20	276380	5	7	5
40	286275	5	4	8
10	301434	3	5	4
30	321374	5	2	7
20	336400	4	8	4
30	350994	5	5	5
20	362620	4	8	4
30	379463	5	4	5
30	397254	5	4	6
10	422608	5	5	4
20	442233	5	7	5
40	452194	5	3	4
10	465555	5	6	5
