code	time	valence	arousal	humanlike
20	5608	3	8	5
40	21568	6	6	8
20	42841	3	8	5
30	58434	6	6	4
30	75559	7	7	7
20	89135	3	8	4
30	104045	7	7	7
10	118038	3	7	6
30	135130	7	7	7
10	148973	2	8	3
40	166914	6	5	3
20	184839	2	8	4
40	198932	6	6	6
10	212176	4	6	5
30	237314	7	7	5
40	251840	6	5	3
20	266849	2	8	3
40	284208	6	6	5
20	303764	3	8	4
10	321690	3	7	6
30	337048	7	6	6
10	351774	3	8	4
10	366017	4	4	5
40	384042	6	4	6
20	404833	2	7	4
40	419975	6	4	4
10	434935	3	8	5
30	448761	7	7	5
