code	time	valence	arousal	humanlike
20	5599	3	8	7
10	16511	4	6	6
30	29255	7	7	6
30	41633	8	7	8
20	54460	3	6	5
10	65888	3	4	7
40	77549	6	6	5
20	88327	2	7	7
40	99971	7	6	7
10	111332	3	8	7
40	122743	7	5	7
20	133821	3	7	7
10	143966	3	7	7
30	155677	8	7	8
30	166622	6	5	6
10	177050	3	7	7
20	186962	2	7	8
40	198524	6	5	5
20	208668	3	7	7
30	221029	6	5	6
40	230441	6	5	5
10	240253	2	4	7
30	253396	8	8	8
30	265957	8	8	8
20	277036	4	7	4
40	287913	7	6	7
10	300741	3	7	7
40	314950	6	6	5
