code	time	valence	arousal	humanlike
20	5596	3	5	6
40	18374	5	7	7
20	29419	3	8	7
30	39231	8	8	8
20	52458	3	5	6
40	64752	3	2	4
30	77146	7	7	9
10	90073	1	2	4
30	102584	5	5	5
40	112579	4	5	6
20	121691	1	3	2
10	131419	1	3	3
30	140698	5	6	7
20	151043	1	5	4
10	161872	3	6	6
40	173666	5	5	5
10	183094	1	3	4
30	194373	5	6	8
10	204167	3	5	7
10	216645	1	3	1
40	225490	4	5	5
20	236218	1	4	1
30	246913	7	8	7
40	256992	5	4	5
10	267154	2	4	5
30	277882	4	6	6
40	289776	5	2	7
20	300787	1	5	2
