code	time	valence	arousal	humanlike
40	5596	6	5	7
20	18158	3	7	7
40	30402	6	5	7
30	42047	9	6	8
10	56590	3	4	7
30	69016	7	6	7
40	80344	6	6	5
20	90556	4	7	5
20	101717	2	7	7
30	113911	6	5	5
10	126072	3	6	7
20	142264	3	6	4
30	154009	6	5	6
10	164770	3	7	6
20	176831	2	7	6
30	187759	8	7	7
20	201502	2	7	6
40	216678	6	6	5
10	227640	3	7	8
30	239734	8	7	8
10	251128	3	4	7
40	263839	6	7	6
10	275200	3	6	6
20	287727	2	7	8
30	301288	6	5	6
40	312115	7	6	6
10	323810	4	4	6
40	336186	6	5	6
10	349297	3	7	7
40	363973	6	5	6
30	376867	6	5	5
20	390278	3	7	6
