code	time	valence	arousal	humanlike
10	5597	5	7	5
10	17826	4	5	3
40	34468	5	2	2
40	47895	2	5	1
10	68435	5	2	7
20	80645	5	7	5
40	91673	5	7	4
30	110481	7	6	6
10	125723	4	3	5
30	137767	5	4	5
30	151544	3	6	2
20	171334	5	7	5
40	184062	5	4	3
30	201153	5	7	3
10	217079	5	7	4
20	233521	5	7	5
30	244532	4	6	5
20	260975	5	7	5
30	270869	7	7	7
20	288562	5	7	5
10	301854	5	3	3
40	314099	5	4	6
20	334872	5	7	5
30	343867	6	7	5
20	363675	5	7	5
40	374153	4	2	4
10	388313	5	2	6
40	399373	3	4	5
20	416299	5	7	5
30	425661	4	7	3
40	438988	6	4	5
10	457930	5	4	5
