code	time
10	5606
20	16121
30	26899
40	37677
10	49455
30	60733
20	71511
40	82539
10	94067
10	105344
30	116122
20	126900
20	137429
30	148457
40	159985
20	171012
10	181540
30	193568
40	204096
10	216124
40	226902
30	237430
10	247958
40	258986
20	271014
30	281792
30	293570
20	304598
10	316375
40	328653
20	339930
40	351958
