code	time	valence	arousal	humanlike
40	5600	3	9	3
20	18412	8	8	8
40	29190	3	8	3
20	41401	8	8	8
30	53862	6	3	4
40	68221	3	6	4
10	83198	6	4	6
10	93692	3	4	7
40	104987	3	7	2
10	114915	6	7	8
20	125360	8	8	8
40	136021	5	4	9
10	150198	6	7	6
40	165524	4	6	6
30	176502	7	6	7
20	185397	8	8	7
10	198158	7	6	7
40	209803	5	6	4
20	222446	7	6	7
40	235357	6	6	4
30	247668	6	7	5
10	259145	4	5	7
30	270756	6	7	7
20	283167	8	8	8
10	295162	4	7	7
30	309071	6	6	4
30	324064	6	7	7
20	335591	7	7	8
10	348968	4	6	7
30	363595	8	4	4
20	379387	8	8	8
30	390316	4	7	3
