code	time	valence	arousal	humanlike
10	5607	5	7	5
10	20917	4	7	4
30	41907	3	2	2
30	57816	5	5	1
20	71643	5	7	6
40	86086	4	3	2
40	106992	5	5	6
20	119486	5	7	6
30	141342	3	4	2
20	158934	5	6	5
40	171877	3	4	2
10	190402	5	7	6
20	213940	5	7	5
40	229083	3	5	2
20	250456	5	7	3
40	270030	3	5	3
10	286572	4	7	3
10	303048	5	2	5
30	321721	3	7	3
10	334582	5	7	5
20	346526	4	7	4
40	363767	4	3	2
40	382059	3	3	1
10	393786	5	7	5
30	404915	3	6	3
20	420490	5	7	5
30	431369	6	4	8
30	446794	5	6	5
