code	time	valence	arousal	humanlike
10	5596	5	7	3
40	16192	7	3	4
10	26387	4	4	4
30	41896	6	2	5
30	57023	6	2	4
20	68617	5	7	5
30	77363	5	2	3
40	90440	3	1	5
20	104050	6	6	4
10	121958	5	5	5
40	137383	7	4	4
40	153825	4	2	3
10	163054	5	3	4
10	174066	5	7	5
40	184094	4	3	4
30	198804	5	7	3
20	209365	5	7	5
30	220727	5	2	3
20	234253	5	7	5
40	244215	5	4	5
20	263039	5	7	5
20	271202	6	7	6
30	282596	5	5	2
20	295457	5	5	5
40	313798	5	3	3
10	337287	5	7	5
10	346932	5	3	4
30	366422	5	2	7
